critical_path_length,success_critical_path,first_success_branch,wasted_sibling_work_after_first_success,branch_join_wait,tool_blocked_duration,llm_duration,repeated_prefill_on_critical_path,branch_fanout
0.0,0.0,,0,0.0,0.0,0.0,18061,1
0.0,0.0,,0,0.0,0.0,0.0,21603,1
0.0,0.0,,0,0.0,0.0,0.0,29971,1
0.0,0.0,,0,0.0,0.0,0.0,23451,1
0.0,0.0,,0,0.0,0.0,0.0,48487,1
0.0,0.0,,0,0.0,0.0,0.0,60459,1
0.0,0.0,,0,0.0,0.0,0.0,67129,1
0.0,0.0,,0,0.0,0.0,0.0,57871,1
0.0,0.0,,0,0.0,0.0,0.0,30205,1
0.0,0.0,,0,0.0,0.0,0.0,16209,1
0.0,0.0,,0,0.0,0.0,0.0,17830,1
0.0,0.0,,0,0.0,0.0,0.0,20615,1
0.0,0.0,,0,0.0,0.0,0.0,29435,1
0.0,0.0,,0,0.0,0.0,0.0,37910,1
0.0,0.0,,0,0.0,0.0,0.0,70739,1
0.0,0.0,,0,0.0,0.0,0.0,86225,1
0.0,0.0,,0,0.0,0.0,0.0,20483,1
0.0,0.0,,0,0.0,0.0,0.0,20614,1
0.0,0.0,,0,0.0,0.0,0.0,26368,1
0.0,0.0,,0,0.0,0.0,0.0,22242,1
0.0,0.0,,0,0.0,0.0,0.0,57779,1
0.0,0.0,,0,0.0,0.0,0.0,18910,1
0.0,0.0,,0,0.0,0.0,0.0,33235,1
0.0,0.0,,0,0.0,0.0,0.0,19406,1
0.0,0.0,,0,0.0,0.0,0.0,17758,1
0.0,0.0,,0,0.0,0.0,0.0,16773,1
0.0,0.0,,0,0.0,0.0,0.0,8171,1
0.0,0.0,,0,0.0,0.0,0.0,18357,1
0.0,0.0,,0,0.0,0.0,0.0,30465,1
0.0,0.0,,0,0.0,0.0,0.0,31614,1
0.0,0.0,,0,0.0,0.0,0.0,18129,1
0.0,0.0,,0,0.0,0.0,0.0,53204,1
0.0,0.0,,0,0.0,0.0,0.0,21873,1
0.0,0.0,,0,0.0,0.0,0.0,26289,1
0.0,0.0,,0,0.0,0.0,0.0,40054,1
0.0,0.0,,0,0.0,0.0,0.0,36626,1
0.0,0.0,,0,0.0,0.0,0.0,40816,1
0.0,0.0,,0,0.0,0.0,0.0,65194,1
0.0,0.0,,0,0.0,0.0,0.0,49170,1
0.0,0.0,,0,0.0,0.0,0.0,36670,1
