critical_path_length,success_critical_path,first_success_branch,wasted_sibling_work_after_first_success,branch_join_wait,tool_blocked_duration,llm_duration,repeated_prefill_on_critical_path,branch_fanout
123.27616763114929,0.0,,0,0.0,105.8309223651886,17.386940479278564,32637,1
1778428075.1921113,0.0,,0,0.0,1.3141517639160156,6.0392961502075195,20928,1
12.080960035324097,0.0,,0,0.0,1.8908295631408691,10.030473947525024,36519,1
73.92709851264954,0.0,,0,0.0,66.78630805015564,7.083369970321655,22106,1
11.148952960968018,0.0,,0,0.0,1.8868319988250732,9.205450057983398,26305,1
23.864900827407837,0.0,,0,0.0,16.171902179718018,7.6422014236450195,20519,1
1778427718.449843,0.0,,0,0.0,3.2056467533111572,6.618204832077026,19521,1
15.277130365371704,0.0,,0,0.0,2.835916757583618,12.229849100112915,77616,1
9.669267177581787,0.0,,0,0.0,3.0818769931793213,6.304857492446899,32539,1
14.227964401245117,0.0,,0,0.0,7.435870409011841,6.528738498687744,31008,1
8.828710317611694,0.0,,0,0.0,2.673978328704834,5.857073068618774,37857,1
1778427046.8756711,0.0,,0,0.0,2.113184928894043,5.310745477676392,13336,1
10.7922842502594,0.0,,0,0.0,2.395820379257202,8.256404161453247,27471,1
25.919219493865967,0.0,,0,0.0,17.509273529052734,8.234426259994507,26571,1
10.370756387710571,0.0,,0,0.0,2.5210869312286377,7.510427951812744,85067,1
12.589534759521484,0.0,,0,0.0,2.4695210456848145,9.955950021743774,32799,1
10.315054655075073,0.0,,0,0.0,1.786825180053711,8.374735593795776,43077,1
15.241580963134766,0.0,,0,0.0,2.355564832687378,12.715757131576538,69366,1
13.936033725738525,0.0,,0,0.0,2.9986231327056885,10.883911371231079,19031,1
14.657869815826416,0.0,,0,0.0,5.192585706710815,9.411373376846313,18199,1
12.506937742233276,0.0,,0,0.0,2.5471386909484863,9.837469100952148,33145,1
19.83637285232544,0.0,,0,0.0,3.7021424770355225,15.977368831634521,29942,1
30.50050163269043,0.0,,0,0.0,23.967426538467407,6.386121034622192,25043,1
252.893887758255,0.0,,0,0.0,243.66441679000854,9.126798868179321,21464,1
1778426750.754161,0.0,,0,0.0,2.349590301513672,6.2355804443359375,20892,1
8.881716966629028,0.0,,0,0.0,2.482619524002075,6.225882291793823,35799,1
41.76118350028992,0.0,,0,0.0,31.018104076385498,10.57302188873291,20100,1
25.112202405929565,0.0,,0,0.0,18.930243015289307,5.910865783691406,40082,1
13.120924711227417,0.0,,0,0.0,2.302528142929077,8.331981658935547,17723,1
11.45497441291809,0.0,,0,0.0,2.770554780960083,8.306289196014404,43053,1
9.550467729568481,0.0,,0,0.0,2.2725298404693604,7.144510984420776,17312,1
15.325329065322876,0.0,,0,0.0,2.992716073989868,12.160496234893799,47818,1
9.414115905761719,0.0,,0,0.0,2.806814670562744,6.451164484024048,23262,1
28.01487970352173,0.0,,0,0.0,17.47572350502014,10.31655740737915,40527,1
27.45812749862671,0.0,,0,0.0,13.143848180770874,14.025404691696167,36961,1
14.809476375579834,0.0,,0,0.0,3.2506794929504395,9.110590696334839,23566,1
9.697550773620605,0.0,,0,0.0,1.8534860610961914,7.671738624572754,52122,1
7.830129384994507,0.0,,0,0.0,1.777857780456543,5.998567819595337,34852,1
13.726330518722534,0.0,,0,0.0,3.8945603370666504,9.773693561553955,32889,1
9.524284601211548,0.0,,0,0.0,2.0656275749206543,7.283045768737793,51524,1
