shared_prefix_tokens,unique_suffix_tokens,num_requests,noprefix_latency_mean,prefix_latency_mean,latency_reduction,client_repeated_prefix_tokens,reliable_cache_hit_tokens,prefix_metrics_reliable
0,256,2,1.2030292749404907,1.1781729062398274,0.02066148282375994,0,544.0,true
0,256,4,1.243693232536316,1.2067095637321472,0.029736970369088806,0,1088.0,true
0,256,8,1.329771449168523,1.2598786155382793,0.05256003478939651,0,2176.0,true
0,512,2,1.2213108936945598,1.1845213572184246,0.03012299052278496,0,1056.0,true
0,512,4,1.2875133951505024,1.2183409929275513,0.05372557868795248,0,2112.0,true
0,512,8,1.416082849105199,1.2836072941621144,0.09355070928709713,0,4224.0,true
0,1024,2,1.2552366654078166,1.1951133807500203,0.04789796722378468,0,2080.0,true
0,1024,4,1.3863422274589539,1.2392985622088115,0.10606592105302941,0,4160.0,true
0,1024,8,1.5899043877919514,1.3292205333709717,0.16396196929993742,0,8320.0,true
1036,1032,2,1.4444931745529175,1.214115858078003,0.15948660785207117,1024,4192.0,true
1036,1032,4,1.5716164509455364,1.2717915376027424,0.1907748631432366,3072,8384.0,true
1036,1032,8,2.0435685018698373,1.3599892656008403,0.33450272679556925,7168,16768.0,true
1037,264,2,1.3048183917999268,1.195749044418335,0.08358967659180255,1024,2656.0,true
1037,264,4,1.4258702993392944,1.240859031677246,0.12975322352094507,3072,5312.0,true
1037,264,8,1.6636871695518494,1.3461480339368184,0.19086468984464616,7168,10624.0,true
1037,520,2,1.3879319429397583,1.2027961413065593,0.13338968281187155,1024,3168.0,true
1037,520,4,1.5500757694244385,1.2526535590489705,0.1918759174500898,3072,6336.0,true
1037,520,8,1.8426206608613331,1.3497284054756165,0.2674952397176064,7168,12672.0,true
4108,264,2,1.7772239049275715,1.2430083751678467,0.30058988531413894,4096,8800.0,true
4108,264,4,2.1662651101748147,1.3089118202527363,0.3957748688723012,12288,17600.0,true
4108,264,8,2.8433934350808463,1.4568510055541992,0.4876365023636708,28672,35200.0,true
4109,520,2,1.7842623392740886,1.2397956848144531,0.30514944045792447,4096,9312.0,true
4109,520,4,2.235248386859894,1.3137808839480083,0.4122438957248841,12288,18624.0,true
4109,520,8,3.253642350435257,1.4914821684360504,0.5415961535426513,28672,37248.0,true
4109,1032,2,2.0007934172948203,1.237943172454834,0.3812738677796135,4096,10336.0,true
4109,1032,4,2.4766764442125955,1.3280593355496724,0.4637735830802479,12288,20672.0,true
4109,1032,8,3.2431089778741202,1.5156381924947102,0.5326588767645356,28672,41344.0,true
8204,264,2,2.2319974501927695,1.2808700402577717,0.42613283892992454,8192,16992.0,true
8204,264,4,2.936315377553304,1.3666440844535828,0.5345717647018067,24576,33984.0,true
8204,264,8,4.726814200480779,1.6492674350738525,0.6510826605145384,57344,67968.0,true
8204,1032,2,2.480147918065389,1.2834403117497761,0.482514610358035,8192,18528.0,true
8204,1032,4,3.0065048734347024,1.3798008759816487,0.5410614869866046,24576,37056.0,true
8204,1032,8,5.081526706616084,1.7094728549321492,0.6635906975148952,57344,74112.0,true
8205,520,2,2.300162593523661,1.2785146236419678,0.4441633703453164,8192,17504.0,true
8205,520,4,2.9141185879707336,1.3687388102213542,0.5303077864190541,24576,35008.0,true
8205,520,8,4.559031893809636,1.6733475625514984,0.6329598911506606,57344,70016.0,true
16395,264,2,2.8091448148091636,1.3467254638671875,0.5205923679094215,16384,33344.0,true
16395,264,4,4.350433548291524,1.4887524247169495,0.6577921698627938,49152,66688.0,true
16395,264,8,7.867425272862117,2.0890875260035195,0.734463632821577,114688,133376.0,true
16397,520,2,2.84967307249705,1.3644161224365234,0.521202577374624,16384,33888.0,true
16397,520,4,4.502628723780314,1.5441981156667073,0.6570452039469445,49152,67776.0,true
16397,520,8,7.9584182898203535,2.0809101462364197,0.7385271707949655,114688,135552.0,true
16397,1032,2,2.8825249671936035,1.346567193667094,0.5328515072748536,16384,34912.0,true
16397,1032,4,4.550844172636668,1.5165515939394634,0.6667537853618037,49152,69824.0,true
16397,1032,8,8.341155598560968,2.046093871196111,0.754698992601324,114688,139648.0,true
