input_tokens,output_tokens_actual,output_tokens_target,actual_e2e,actual_ttft_prefill_proxy,actual_decode,predicted_prefill,predicted_decode,predicted_e2e,ape,model_mode
512.0,32.0,32.0,0.427020788192749,0.1577444076538086,0.26927638053894043,0.04854378518970229,0.28414963548919425,0.3326934206788965,0.22089642968687262,parametric
512.0,32.0,32.0,0.3302497863769531,0.05171966552734375,0.2785301208496094,0.04854378518970229,0.28414963548919425,0.3326934206788965,0.007399351650614478,parametric
512.0,32.0,32.0,0.3287656307220459,0.05073356628417969,0.2780320644378662,0.04854378518970229,0.28414963548919425,0.3326934206788965,0.011947082023824303,parametric
512.0,128.0,128.0,1.191023349761963,0.05063462257385254,1.1403887271881104,0.04854378518970229,1.136598541956777,1.1851423271464794,0.004937789520800653,parametric
512.0,128.0,128.0,1.1926181316375732,0.052602291107177734,1.1400158405303955,0.04854378518970229,1.136598541956777,1.1851423271464794,0.0062683974801128525,parametric
512.0,128.0,128.0,1.1943302154541016,0.055219173431396484,1.139111042022705,0.04854378518970229,1.136598541956777,1.1851423271464794,0.007692921261419159,parametric
512.0,512.0,512.0,4.641561031341553,0.052840471267700195,4.5887205600738525,0.04854378518970229,4.546394167827108,4.59493795301681,0.010044697895799736,parametric
512.0,512.0,512.0,4.6511054039001465,0.06286358833312988,4.588241815567017,0.04854378518970229,4.546394167827108,4.59493795301681,0.012076150937417488,parametric
512.0,512.0,512.0,4.64231276512146,0.05370378494262695,4.588608980178833,0.04854378518970229,4.546394167827108,4.59493795301681,0.010205002226602516,parametric
512.0,1024.0,1024.0,9.251675128936768,0.0589141845703125,9.192760944366455,0.04854378518970229,9.092788335654216,9.141332120843918,0.011926813961260477,parametric
512.0,1024.0,1024.0,9.24961519241333,0.058327436447143555,9.191287755966187,0.04854378518970229,9.092788335654216,9.141332120843918,0.011706765018530416,parametric
512.0,1024.0,1024.0,9.248780250549316,0.05601143836975098,9.192768812179565,0.04854378518970229,9.092788335654216,9.141332120843918,0.01161754596764438,parametric
1024.0,32.0,32.0,0.3486015796661377,0.06978058815002441,0.2788209915161133,0.06834744823138553,0.28448572036718434,0.35283316859856984,0.012138754323732017,parametric
1024.0,32.0,32.0,0.34653210639953613,0.06751847267150879,0.27901363372802734,0.06834744823138553,0.28448572036718434,0.35283316859856984,0.018183198851331996,parametric
1024.0,32.0,32.0,0.34446072578430176,0.06595897674560547,0.2785017490386963,0.06834744823138553,0.28448572036718434,0.35283316859856984,0.02430594313823407,parametric
1024.0,128.0,128.0,1.2096586227416992,0.06721782684326172,1.1424407958984375,0.06834744823138553,1.1379428814687373,1.2062903297001228,0.0027844988480651817,parametric
1024.0,128.0,128.0,1.2119901180267334,0.07239389419555664,1.1395962238311768,0.06834744823138553,1.1379428814687373,1.2062903297001228,0.0047028339933088735,parametric
1024.0,128.0,128.0,1.2101049423217773,0.06810927391052246,1.1419956684112549,0.06834744823138553,1.1379428814687373,1.2062903297001228,0.0031522990182451154,parametric
1024.0,512.0,512.0,4.66071629524231,0.0679619312286377,4.592754364013672,0.06834744823138553,4.551771525874949,4.620118974106335,0.00871053258002782,parametric
1024.0,512.0,512.0,4.662399053573608,0.06959199905395508,4.592807054519653,0.06834744823138553,4.551771525874949,4.620118974106335,0.009068309893994795,parametric
1024.0,512.0,512.0,4.672863483428955,0.07900357246398926,4.593859910964966,0.06834744823138553,4.551771525874949,4.620118974106335,0.011287406428555921,parametric
1024.0,1024.0,1024.0,9.27112364768982,0.07033228874206543,9.200791358947754,0.06834744823138553,9.103543051749899,9.171890499981284,0.010703465025327543,parametric
1024.0,1024.0,1024.0,9.261956930160522,0.06334686279296875,9.198610067367554,0.06834744823138553,9.103543051749899,9.171890499981284,0.009724341287524993,parametric
1024.0,1024.0,1024.0,9.265363931655884,0.07289266586303711,9.192471265792847,0.06834744823138553,9.103543051749899,9.171890499981284,0.01008847923989686,parametric
2048.0,32.0,32.0,0.38396167755126953,0.10481023788452148,0.27915143966674805,0.10868443483055552,0.2851578901231646,0.3938423249537201,0.025733420755594164,parametric
2048.0,32.0,32.0,0.3781282901763916,0.09793901443481445,0.28018927574157715,0.10868443483055552,0.2851578901231646,0.3938423249537201,0.04155741632026037,parametric
2048.0,32.0,32.0,0.37833523750305176,0.09920835494995117,0.2791268825531006,0.10868443483055552,0.2851578901231646,0.3938423249537201,0.040987690052379226,parametric
2048.0,128.0,128.0,1.2408256530761719,0.09793305397033691,1.142892599105835,0.10868443483055552,1.1406315604926585,1.249315995323214,0.006842494129609153,parametric
2048.0,128.0,128.0,1.2406587600708008,0.0975792407989502,1.1430795192718506,0.10868443483055552,1.1406315604926585,1.249315995323214,0.006977934248349803,parametric
2048.0,128.0,128.0,1.242283582687378,0.09867215156555176,1.1436114311218262,0.10868443483055552,1.1406315604926585,1.249315995323214,0.005660875450533752,parametric
2048.0,512.0,512.0,4.694444894790649,0.09566593170166016,4.598778963088989,0.10868443483055552,4.562526241970634,4.67121067680119,0.004949300398699415,parametric
2048.0,512.0,512.0,4.6928956508636475,0.0938262939453125,4.599069356918335,0.10868443483055552,4.562526241970634,4.67121067680119,0.004620808915379802,parametric
