mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2_noprefix,0,0,256,256,2,128,0,1.202040433883667,1.1940292119979858,0.04483962059020996,1.1491895914077759,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,1.0818708688020706e-05,0.03683926584199071,2.2967412266880274,0.05887937545776367,0.0,2.3556578159332275,True,
prefix,pr2_v2_noprefix,0,0,256,256,2,128,1,1.2213914394378662,1.2075366973876953,0.059384942054748535,1.1481517553329468,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,1.3838056474924088e-05,0.03683825070038438,2.2953186724334955,0.06113481521606445,0.0,2.3564257621765137,True,
prefix,pr2_v2_noprefix,0,0,256,256,2,128,2,1.2217614650726318,1.207521915435791,0.05994987487792969,1.1475720405578613,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,1.1076685041189194e-05,0.036997536197304726,2.2939389320090413,0.0619964599609375,0.0,2.3558690547943115,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,0,1.2522644996643066,1.2364873886108398,0.0762101411819458,1.160277247428894,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,3.3933669328689575e-05,0.12343820603564382,4.631679088342935,0.1990339756011963,0.0,4.831019639968872,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,1,1.2755615711212158,1.2478243708610535,0.08859103918075562,1.1592333316802979,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,4.415586590766907e-05,0.12588432477787137,4.627823131624609,0.20357465744018555,0.0,4.831664562225342,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,2,1.2740654945373535,1.2467679381370544,0.08669298887252808,1.1600749492645264,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,3.4516677260398865e-05,0.12290454469621181,4.630981137044728,0.19828104972839355,0.0,4.829589366912842,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,0,1.3612275123596191,1.329130083322525,0.15185469388961792,1.177275389432907,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.000170981977134943,0.5068594524636865,9.374118939042091,0.7529430389404297,0.0,10.128496408462524,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,1,1.362060546875,1.3286251425743103,0.15076687932014465,1.1778582632541656,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.00018624821677803993,0.5118215163238347,9.376434118952602,0.777733564376831,0.0,10.155613899230957,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,2,1.3786044120788574,1.3315591216087341,0.1525976061820984,1.1789615154266357,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.00011627655476331711,0.5288798143155873,9.393918906804174,0.7594454288482666,0.0,10.153762817382812,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,0,1.2274327278137207,1.2173482179641724,0.06461942195892334,1.152728796005249,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,1.0170042514801025e-05,0.048891426995396614,2.3046619668602943,0.08388113975524902,0.0,2.3884477615356445,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,1,1.237255573272705,1.2233057022094727,0.07027685642242432,1.1530288457870483,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,1.1235009878873825e-05,0.04885185416787863,2.3054059804417193,0.08414602279663086,0.0,2.3896470069885254,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,2,1.2368886470794678,1.2232787609100342,0.07008647918701172,1.1531922817230225,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,1.0647345334291458e-05,0.04854198871180415,2.305855893995613,0.08420014381408691,0.0,2.3901872634887695,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,0,1.3185887336730957,1.29597669839859,0.1260371208190918,1.1699395775794983,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,3.242306411266327e-05,0.20400138990953565,4.673150115646422,0.3406543731689453,0.0,5.014247417449951,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,1,1.3114137649536133,1.284255027770996,0.1155095100402832,1.168745517730713,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,3.369571641087532e-05,0.20320513099431992,4.668700874783099,0.3155498504638672,0.0,4.984683513641357,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,2,1.309258222579956,1.2823084592819214,0.11601006984710693,1.1662983894348145,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,3.413669764995575e-05,0.20240411069244146,4.668305246159434,0.3157336711883545,0.0,4.981690406799316,True,
prefix,pr2_v2_noprefix,0,0,512,512,8,128,0,1.4679412841796875,1.4211826920509338,0.2267751693725586,1.1944075226783752,True,0,True,True,8,0,ok,,0.0,0.0,0.0,4328.0,1024.0,0.0,0.0,0.0,0.00015033315867185593,0.932315627578646,9.511298459488899,1.3037006855010986,0.0,10.815407514572144,True,
