split_type,policy,target,train_rows,median_abs_error,p95_abs_error,model_method
leave_arrival_bursty,taps_unified_adaptive_v6,throughput,67,0.012558682491501022,0.051087640606676164,numpy_ridge
leave_arrival_bursty,taps_unified_adaptive_v6,ready_queue_wait,67,470.5859270743481,2619.0624999366923,numpy_ridge
leave_arrival_bursty,taps_unified_adaptive_v6,region_utilization,67,0.05887348329962644,0.161853642116046,numpy_ridge
leave_arrival_closed_loop,reactive_admission,p95_jct,87,3.4449614002316196,10.015893188177536,numpy_ridge
leave_arrival_closed_loop,reactive_admission,mean_jct,87,2.87028548784604,8.778739169493985,numpy_ridge
leave_arrival_closed_loop,reactive_admission,throughput,87,0.011902977007538201,0.03386217988035037,numpy_ridge
leave_arrival_closed_loop,reactive_admission,ready_queue_wait,87,887.5085905867218,3586.401479554166,numpy_ridge
leave_arrival_closed_loop,reactive_admission,region_utilization,87,0.0495238892339086,0.1264956376171643,numpy_ridge
leave_arrival_closed_loop,acd_nisp,p95_jct,87,3.4449614002316196,10.015893188177536,numpy_ridge
leave_arrival_closed_loop,acd_nisp,mean_jct,87,2.87028548784604,8.778739169493985,numpy_ridge
leave_arrival_closed_loop,acd_nisp,throughput,87,0.011902977007538201,0.03386217988035037,numpy_ridge
leave_arrival_closed_loop,acd_nisp,ready_queue_wait,87,887.5085905867218,3586.401479554166,numpy_ridge
leave_arrival_closed_loop,acd_nisp,region_utilization,87,0.0495238892339086,0.1264956376171643,numpy_ridge
leave_arrival_closed_loop,taps_domain_v4,p95_jct,87,10.893545119991245,60.746869357205995,numpy_ridge
leave_arrival_closed_loop,taps_domain_v4,mean_jct,87,3.370722538267998,8.876658011263979,numpy_ridge
leave_arrival_closed_loop,taps_domain_v4,throughput,87,0.010902548463407075,0.03518572931241575,numpy_ridge
leave_arrival_closed_loop,taps_domain_v4,ready_queue_wait,87,764.4442287181832,2959.11914710385,numpy_ridge
leave_arrival_closed_loop,taps_domain_v4,region_utilization,87,0.05756793162763843,0.14972775604237265,numpy_ridge
leave_arrival_closed_loop,taps_admission_v4,p95_jct,87,6.664679043847173,17.50932718906208,numpy_ridge
leave_arrival_closed_loop,taps_admission_v4,mean_jct,87,3.0440914498892795,9.474746032322493,numpy_ridge
leave_arrival_closed_loop,taps_admission_v4,throughput,87,0.008630290325559856,0.04185851996344404,numpy_ridge
leave_arrival_closed_loop,taps_admission_v4,ready_queue_wait,87,752.6549298167832,3145.5130055406935,numpy_ridge
leave_arrival_closed_loop,taps_admission_v4,region_utilization,87,0.046343157766160825,0.10372799790346388,numpy_ridge
leave_arrival_closed_loop,taps_unified_v5,p95_jct,87,7.997959705897728,32.7381141773118,numpy_ridge
leave_arrival_closed_loop,taps_unified_v5,mean_jct,87,3.245879828747235,9.227820100954295,numpy_ridge
leave_arrival_closed_loop,taps_unified_v5,throughput,87,0.01911564983360943,0.05252562761384769,numpy_ridge
leave_arrival_closed_loop,taps_unified_v5,ready_queue_wait,87,647.3054163830658,2358.628666112982,numpy_ridge
leave_arrival_closed_loop,taps_unified_v5,region_utilization,87,0.06586610371910007,0.15511997932738145,numpy_ridge
leave_arrival_closed_loop,taps_unified_adaptive_v6,p95_jct,87,7.330103625543643,27.67402524836451,numpy_ridge
leave_arrival_closed_loop,taps_unified_adaptive_v6,mean_jct,87,2.7001529260511745,9.50057270506704,numpy_ridge
leave_arrival_closed_loop,taps_unified_adaptive_v6,throughput,87,0.018424880269280602,0.05092608134914922,numpy_ridge
leave_arrival_closed_loop,taps_unified_adaptive_v6,ready_queue_wait,87,732.4731835758951,2576.160813266983,numpy_ridge
leave_arrival_closed_loop,taps_unified_adaptive_v6,region_utilization,87,0.07932281406448718,0.16776036947666453,numpy_ridge
leave_arrival_poisson,reactive_admission,p95_jct,86,4.396235493523577,10.65144643498471,numpy_ridge
leave_arrival_poisson,reactive_admission,mean_jct,86,2.9939751067238376,8.783476573816127,numpy_ridge
leave_arrival_poisson,reactive_admission,throughput,86,0.009573367172634697,0.03454880417016329,numpy_ridge
leave_arrival_poisson,reactive_admission,ready_queue_wait,86,987.618694914358,3257.554203767765,numpy_ridge
leave_arrival_poisson,reactive_admission,region_utilization,86,0.04219441712186467,0.11942084120318443,numpy_ridge
leave_arrival_poisson,acd_nisp,p95_jct,86,4.396235493523577,10.65144643498471,numpy_ridge
leave_arrival_poisson,acd_nisp,mean_jct,86,2.9939751067238376,8.783476573816127,numpy_ridge
leave_arrival_poisson,acd_nisp,throughput,86,0.009573367172634697,0.03454880417016329,numpy_ridge
leave_arrival_poisson,acd_nisp,ready_queue_wait,86,987.618694914358,3257.554203767765,numpy_ridge
leave_arrival_poisson,acd_nisp,region_utilization,86,0.04219441712186467,0.11942084120318443,numpy_ridge
leave_arrival_poisson,taps_domain_v4,p95_jct,86,16.99197317610583,57.13181280932232,numpy_ridge
leave_arrival_poisson,taps_domain_v4,mean_jct,86,3.238365125594136,9.334814595594903,numpy_ridge
