total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,taps_u_p95_gain_over_reactive,taps_u_p95_gain_over_acd_nisp,taps_u_throughput_gain_over_reactive,taps_u_ready_wait_gain_over_reactive,taps_u_region_util_gain_over_reactive,strongest_baseline_p95,strongest_baseline_throughput,taps_u_p95_gain_over_strongest,taps_u_throughput_gain_over_strongest
16,4,1,poisson,8,static_admission,0.06109458650721649,44.644198705139296,34.89549555436682,105.05467661553254,128.7609970320711,321.27630947173844,108.98124945272696,0.5838647267278645,0.22922223199996414,0.0,0.0,0.0,108,0,0,0,665690,0,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,4,1,poisson,8,reactive_admission,0.11243549969779053,31.118401645372806,20.20852446339653,102.79209373668652,127.27569647914902,132.39751285198813,16.930018625172977,0.8810290559991109,0.4218494251322018,0.987216271838243,0.0,0.0,93,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,4,1,poisson,8,acd_nisp,0.11243549969779053,31.118401645372806,20.20852446339653,102.79209373668652,127.27569647914902,132.39751285198813,16.930018625172977,0.8810290559991109,0.4218494251322018,0.987216271838243,0.0,0.0,93,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,4,1,poisson,8,taps_admission_v4,0.0937909436399511,33.28650858457961,24.34197696167089,95.85448072612061,121.73834755640961,167.08722387929703,45.21837208555081,0.7349328882646102,0.3518964718746886,0.987216271838243,0.0,0.0,133,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,4,1,poisson,8,taps_domain_v4,0.11105979865992861,31.997242649402974,21.312726988371455,101.48693519911374,135.1608312402579,146.45896891647084,18.692740164732022,0.8702492525564062,0.4166878996928549,0.987216271838243,0.0,0.0,102,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,4,1,poisson,8,taps_unified,0.09451115244958495,33.719846887335876,24.429804808856815,99.65047271785977,129.2938734584914,174.02063672339733,43.91839873973555,0.7405763450854495,0.3545986404347592,0.987216271838243,0.0,0.0,137,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.030562866312212385,0.030562866312212385,-0.15941893171092303,-0.31437995302782745,-0.1404527109136614,95.85448072612061,0.11243549969779053,-0.03960161239186327,-0.15941893171092303
16,16,4,bursty,32,static_admission,0.10548990759097704,59.0458876411976,49.91038272163329,116.3041389030297,144.5994495720884,477.7615056431755,99.84742944057581,0.37391157290210414,0.09894752323357449,0.0,0.0,0.0,110,0,0,0,665690,0,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
16,16,4,bursty,32,reactive_admission,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
16,16,4,bursty,32,acd_nisp,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
16,16,4,bursty,32,taps_admission_v4,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
