policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,algorithm,split,objective,p95_gain_vs_base,throughput_gain_vs_base,cfg_w_domain,cfg_w_batch,cfg_w_hot,cfg_w_resume,cfg_w_age,cfg_w_short,cfg_w_remote,cfg_w_evict,cfg_tau,total_sessions,active_session_limit,throughput,ready_queue_empty_time,blocked_session_fraction,admission_count,eviction_count,cfg_w_reuse,cfg_w_llm,cfg_w_stall,cfg_w_sram,cfg_w_tool_penalty,mean_cost_to_patch,mean_tokens_to_patch,patch_instances,cfg_w_patch,cfg_w_test,cfg_w_return,cfg_w_file,cfg_w_duplicate,cfg_w_error,cfg_w_token,cfg_w_stale
taps_domain,32,bursty,4,0.21459970324588612,65.54365883871544,62.04391837449612,108.08600058664993,144.15808915878884,1405.9541816563035,0.5122684690046794,0.9719492365302331,7788347392.0,1.0,16.448377581120944,317,32,taps_domain,train,114.62963648535917,0.01113497537801226,0.04708120994902904,0.5,0,0,0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.1897796530799275,57.508261393671816,57.9882539395641,117.94304146988054,162.86731916890983,1149.1133814882983,0.4525880010214106,0.9780728693763464,13706764288.0,1.0,13.64896755162242,304,32,taps_domain,train,123.68437862659373,-0.07904583363324925,-0.0740215118426692,0.5,0,0,0,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.187078890643369,53.25693046611565,50.97088830524893,119.97831691176809,167.49954253269203,1012.9248998378382,0.4463604306047912,0.9791314307417496,53967814656.0,1.0,12.469026548672566,287,32,taps_domain,train,125.29465601384749,-0.09766630889397643,-0.08719915168598423,0.5,0,0,0,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.21459970324588612,65.49831827169517,62.04391837449612,108.72076877213739,144.15808915878884,1404.5040633900546,0.5122671614916074,0.9719492365302331,7632371712.0,1.0,16.436578171091444,316,32,taps_domain,train,115.2598706141446,0.0053275622628595806,0.04708120994902904,0.5,0,0,0.5,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.1897796530799275,57.508261393671816,57.9882539395641,117.94304146988054,162.86731916890983,1149.1133814882983,0.4525880010214106,0.9780728693763464,13706764288.0,1.0,13.64896755162242,304,32,taps_domain,train,123.68437862659373,-0.07904583363324925,-0.0740215118426692,0.5,0,0,0.5,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.187078890643369,53.25693046611565,50.97088830524893,119.97831691176809,167.49954253269203,1012.9248998378382,0.4463604306047912,0.9791314307417496,53967814656.0,1.0,12.469026548672566,287,32,taps_domain,train,125.29465601384749,-0.09766630889397643,-0.08719915168598423,0.5,0,0,0.5,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.21459970324588612,65.54924212653515,62.04780637022343,109.06146390419948,144.15808915878884,1406.1370301113338,0.5122614555430179,0.9719492365302331,6951698432.0,1.0,16.43952802359882,314,32,taps_domain,train,115.6056581316907,0.0022105859816890236,0.04708120994902904,0.5,0,0,1.0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.1897796530799275,57.508261393671816,57.9882539395641,117.94304146988054,162.86731916890983,1149.1133814882983,0.4525880010214106,0.9780728693763464,13706764288.0,1.0,13.64896755162242,304,32,taps_domain,train,123.68437862659373,-0.07904583363324925,-0.0740215118426692,0.5,0,0,1.0,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.18776533320593286,53.23737399894644,50.97088830524893,120.00482336154785,167.08632014230622,1012.3079321793037,0.44798528008807453,0.9791314307417496,52199956480.0,1.0,12.469026548672566,287,32,taps_domain,train,125.3191724947822,-0.09790881302005972,-0.0838498408616988,0.5,0,0,1.0,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.24802426261891491,50.68265258152904,54.09234900005228,104.07730551738794,127.15909663132292,930.2975537015375,0.5922581965206416,0.9719492365302331,28673892352.0,1.0,11.489675516224189,266,32,taps_domain,train,109.1331695624099,0.04781001494698871,0.21016730718479057,0.5,0,0.3,0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.22579451628925928,49.866156651869254,51.60040963028928,108.21486938060421,137.28081211324542,904.5644857937211,0.5384792520626134,0.980881358044473,43624218624.0,1.0,11.312684365781712,273,32,taps_domain,train,113.19019531997668,0.009955971229325615,0.10170327237181598,0.5,0,0.3,0,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
