config_id,policy,raw_remote_bytes,policy_remote_bytes,remote_reduction,raw_compute_time,policy_compute_time,compute_reduction,local_memory_bytes,communication_nodes,memory_nodes,delay_nodes,dependency_count,schedule_match_error,ASTRA_SIM_RUN_COMPLETED,per_npu_file_count,schedule_jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,STP-AE,327272931328.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,1,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts128_al4_er1_arrpoisson_mem64_schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,full AgentWeaver,327272931328.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,1,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts128_al4_er1_arrpoisson_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,raw,38173327360.0,38173327360.0,0.0,152.10623549043302,152.10623549043302,0.0,0,155,0,0,449,0.0,false,16,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,ACD/NISP,38173327360.0,33873502208.0,0.11263951689224715,152.10623549043302,125.42863512539454,0.1753879469768116,2758017024,128,11,0,433,0.0,false,16,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,TAPS-C,38173327360.0,26411499520.0,0.3081163905121002,152.10623549043302,125.42863512539454,0.1753879469768116,10220019712,110,29,0,433,0.0,false,16,data/schedules/pr4_v12_taps_c_v3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,STP-AE,38173327360.0,33873502208.0,0.11263951689224715,152.10623549043302,125.42863512539454,0.1753879469768116,2758017024,128,11,0,433,0.0,false,16,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,full AgentWeaver,38173327360.0,26411499520.0,0.3081163905121002,152.10623549043302,125.42863512539454,0.1753879469768116,10220019712,110,29,0,433,0.0,false,16,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,raw,38173327360.0,38173327360.0,0.0,152.10623549043302,152.10623549043302,0.0,0,155,0,0,449,0.0,false,2,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er2_arrbursty_mem16_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,ACD/NISP,38173327360.0,17835360256.0,0.5327795219997296,152.10623549043302,124.91029067009937,0.17879572610975691,19563307008,76,71,0,441,0.0,false,2,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er2_arrbursty_mem16_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,TAPS-C,38173327360.0,16126451712.0,0.577546605777464,152.10623549043302,124.8389807825262,0.1792645424429154,21377556480,67,81,0,442,0.0,false,2,data/schedules/pr4_v12_taps_c_v3_aligned_v10_stratified_ts16_al16_er2_arrbursty_mem16_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,STP-AE,38173327360.0,17835360256.0,0.5327795219997296,152.10623549043302,124.91029067009937,0.17879572610975691,19563307008,76,71,0,441,0.0,false,2,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts16_al16_er2_arrbursty_mem16_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,full AgentWeaver,38173327360.0,16126451712.0,0.577546605777464,152.10623549043302,124.8389807825262,0.1792645424429154,21377556480,67,81,0,442,0.0,false,2,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts16_al16_er2_arrbursty_mem16_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,raw,38173327360.0,38173327360.0,0.0,152.10623549043302,152.10623549043302,0.0,0,155,0,0,449,0.0,false,1,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al4_er1_arrclosed_loop_mem8_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,ACD/NISP,38173327360.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,1,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al4_er1_arrclosed_loop_mem8_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,TAPS-C,38173327360.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,1,data/schedules/pr4_v12_taps_c_v3_aligned_v10_stratified_ts16_al4_er1_arrclosed_loop_mem8_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,STP-AE,38173327360.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,1,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts16_al4_er1_arrclosed_loop_mem8_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,full AgentWeaver,38173327360.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,1,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts16_al4_er1_arrclosed_loop_mem8_schedule.jsonl
