shared_prefix_tokens,unique_suffix_tokens,num_requests,noprefix_latency_mean,prefix_latency_mean,latency_reduction,client_repeated_prefix_tokens,reliable_cache_hit_tokens,prefix_metrics_reliable,prefix_cache_counters_used_as_evidence
0,256,2,1.1960976521174114,1.1887898047765095,0.006109741397757119,0,,false,false
0,256,4,1.2321040431658428,1.2196327249209087,0.010121968444230993,0,,false,false
0,256,8,1.3184504012266796,1.3061901728312175,0.009298968231232045,0,,false,false
0,512,2,1.2107574144999187,1.1959108511606853,0.012262211373998069,0,,false,false
0,512,4,1.2730958461761475,1.2579500675201416,0.011896809420514177,0,,false,false
0,512,8,1.4188445905844371,1.3863881826400757,0.022875238176009328,0,,false,false
0,1024,2,1.251402457555135,1.2344623406728108,0.013536905557481584,0,,false,false
0,1024,4,1.3584756056467693,1.3420778512954712,0.012070702103988926,0,,false,false
0,1024,8,1.5705072681109111,1.5545993248621623,0.010129175185469654,0,,false,false
1036,1032,2,1.3420596520105998,1.20826256275177,0.09969533698325733,1024,,false,false
1036,1032,4,1.5361690918604534,1.2682604392369587,0.17440049669208657,3072,,false,false
1036,1032,8,1.8994902074337006,1.3545612494150798,0.28688168851096374,7168,,false,false
1037,264,2,1.2803182204564412,1.188970923423767,0.07134733816418563,1024,,false,false
1037,264,4,1.4146090745925903,1.237234632174174,0.1253876039707298,3072,,false,false
1037,264,8,1.6626497507095337,1.336824764808019,0.19596730205051868,7168,,false,false
1037,520,2,1.3004977305730183,1.2007972796758015,0.07666330248287886,1024,,false,false
1037,520,4,1.4501817027727764,1.242919643719991,0.14292144126249573,3072,,false,false
1037,520,8,1.7567586600780487,1.3528190553188324,0.22993460282203487,7168,,false,false
4108,264,2,1.550447901089986,1.2401194175084431,0.20015408667610038,4096,,false,false
4108,264,4,1.9158743222554524,1.3008534510930378,0.3210131604240014,12288,,false,false
4108,264,8,2.6915753384431205,1.4260800679524739,0.47016899449771415,28672,,false,false
4109,520,2,1.5585675636927288,1.2270543972651164,0.21270375064277294,4096,,false,false
4109,520,4,1.9519247810045879,1.3024149735768635,0.33275350246511254,12288,,false,false
4109,520,8,2.801964739958445,1.4748537043730419,0.4736358800878719,28672,,false,false
4109,1032,2,1.6040126482645671,1.2419921557108562,0.22569678172138638,4096,,false,false
4109,1032,4,2.04573518037796,1.3236995140711467,0.35294679058773076,12288,,false,false
4109,1032,8,2.998012880484263,1.513731191555659,0.495088496313882,28672,,false,false
8204,264,2,1.8951155344645183,1.2711345354715984,0.3292574978386377,8192,,false,false
8204,264,4,2.68492184082667,1.3563282291094463,0.4948351164323497,24576,,false,false
8204,264,8,4.274259835481644,1.6605374415715535,0.6115029255388176,57344,,false,false
8204,1032,2,2.0735082228978476,1.2713336944580078,0.3868682648958848,8192,,false,false
8204,1032,4,2.9044447938601174,1.3837391138076782,0.5235787863026874,24576,,false,false
8204,1032,8,4.656293421983719,1.7020597259203594,0.6344603804639031,57344,,false,false
8205,520,2,1.931971788406372,1.2668315569559734,0.344280509395561,8192,,false,false
8205,520,4,2.7465858459472656,1.371536413828532,0.5006395245747344,24576,,false,false
8205,520,8,4.407011499007543,1.646481176217397,0.6263950805238009,57344,,false,false
16395,264,2,2.807870030403137,1.3548716306686401,0.5174735240597601,16384,,false,false
16395,264,4,4.409224232037862,1.5032755136489868,0.659061223803036,49152,,false,false
16395,264,8,7.845211019118627,2.0356497764587402,0.740523260432651,114688,,false,false
16397,520,2,2.831723769505819,1.3552580674489338,0.5214017405075326,16384,,false,false
16397,520,4,4.44280332326889,1.5450717409451802,0.6522304435911065,49152,,false,false
16397,520,8,7.985416948795319,2.0580256084601083,0.7422770004801588,114688,,false,false
16397,1032,2,2.89777664343516,1.363452633221944,0.5294831862521869,16384,,false,false
16397,1032,4,4.584847589333852,1.548957606156667,0.6621572307528504,49152,,false,false
16397,1032,8,8.40033483505249,2.0549588898817697,0.7553717881212376,114688,,false,false
