config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,reactive_admission,0.11970866147465696,31.334843779610406,92.30037827347059,125.0116491081287,135.86058699978966,0.9380205477577175,0.987216271838243,0.44913777376507485,0.0,5982928896,0,16
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,acd_nisp,0.11970866147465696,31.334843779610406,92.30037827347059,125.0116491081287,135.86058699978966,0.9380205477577175,0.987216271838243,0.44913777376507485,0.0,5982928896,0,16
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_domain_v4,0.1203400788321668,31.282703160134798,93.1032881110466,124.49602587444231,135.02633708818,0.9429682470157238,0.987216271838243,0.45150680356438166,0.0,5982928896,0,16
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_admission_v4,0.09357462426102171,34.18947321124741,97.30727948563998,124.27167100125988,181.53465790598176,0.7332378394701928,0.987216271838243,0.3510848580526164,0.0,5982928896,0,16
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_unified_v5,0.0934313640084004,34.84719735138256,100.916733132577,135.43342996990188,192.0582441481443,0.7321152719050696,0.987216271838243,0.3505473565039503,0.0,5982928896,0,16
aligned_v8:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_unified_adaptive_v6,0.09481314625728997,34.093151256171836,101.71978733955788,135.0210104120252,179.99350662477264,0.7429427268779889,0.987216271838243,0.3557316981835686,0.0,5982928896,0,16
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,reactive_admission,0.08820439251752342,43.49809188462527,119.88339577928181,225.94167097769935,486.5397142955426,0.43267354766976274,0.9844130055516513,0.20378547525547114,35087532032.0,10583121920,0,32
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,acd_nisp,0.08820439251752342,43.49809188462527,119.88339577928181,225.94167097769935,486.5397142955426,0.43267354766976274,0.9844130055516513,0.20378547525547114,35087532032.0,10583121920,0,32
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,taps_domain_v4,0.0920240385470597,42.90789850882013,112.47741597941513,220.67695700664106,467.67929015759125,0.4513732087207388,0.9846232774110317,0.21261030085904956,32435830784.0,10583121920,0,32
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,taps_admission_v4,0.10764785540803001,43.586200160355936,114.2991522924556,225.59933290910925,489.53849024084343,0.5277489662983162,0.9870587946995681,0.24870722135747866,30159904768.0,10583121920,0,32
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,taps_unified_v5,0.10832332093410578,43.77426647213427,121.23025136222475,239.1710149967249,495.5336080987104,0.5310994053074517,0.9870587946995681,0.2502678019512704,34760728576.0,10583121920,0,32
aligned_v8:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,taps_unified_adaptive_v6,0.1078910513216022,42.91878978802632,119.78052271877863,233.5714501768142,468.2078065259758,0.5288966600492981,0.9870587946995681,0.24926909581081333,24870264832.0,10583121920,0,32
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,reactive_admission,0.2026666870420579,49.55995718544262,102.47544444417244,195.77188876911492,1434.4279074491656,0.6584000206442614,0.9821365304423209,0.17926229707592609,195576242176.0,16559915008,0,64
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,acd_nisp,0.2026666870420579,49.55995718544262,102.47544444417244,195.77188876911492,1434.4279074491656,0.6584000206442614,0.9821365304423209,0.17926229707592609,195576242176.0,16559915008,0,64
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,taps_domain_v4,0.20806875914853756,46.71891690602336,120.00679457421666,194.90820763272382,1253.301973349576,0.6753801845265045,0.9855239217809332,0.18404052614213842,169169272832.0,16559915008,3,64
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,taps_admission_v4,0.19567912070189733,48.69524899130352,97.09789896803052,196.57733775988703,1380.2113403372318,0.6348398932675863,0.9886553570877892,0.1730816700997338,190256496640.0,16559915008,0,64
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,taps_unified_v5,0.19577697345292097,51.147377768239004,106.3047217813968,202.2456911257645,1537.3048642108336,0.635037073886514,0.9891929675480645,0.17316822260216885,176908935168.0,16559915008,0,64
aligned_v8:ts64:al16:er4:arrbursty:mem32,64,16,4,bursty,32,taps_unified_adaptive_v6,0.19328905598506504,47.90164224606182,104.84635758165913,200.0178738587088,1329.6183751473332,0.626936433034134,0.9891929675480645,0.17096761525651927,168792064000.0,16559915008,0,64
aligned_v8:ts64:al16:er8:arrpoisson:mem32,64,16,8,poisson,32,reactive_admission,0.21357581751800442,40.633716376828325,90.21512141018297,192.33026210510195,488.9450402106571,0.5030154989892952,0.9843071883555424,0.18891161742926693,461830397952.0,16559915008,0,64
aligned_v8:ts64:al16:er8:arrpoisson:mem32,64,16,8,poisson,32,acd_nisp,0.21357581751800442,40.633716376828325,90.21512141018297,192.33026210510195,488.9450402106571,0.5030154989892952,0.9843071883555424,0.18891161742926693,461830397952.0,16559915008,0,64
