total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,strongest_non_oracle_baseline,strongest_throughput_baseline,strongest_baseline_p95,strongest_baseline_throughput,adaptive_p95,adaptive_throughput,adaptive_gain_over_strongest_p95,adaptive_gain_over_strongest_throughput,adaptive_ready_wait,adaptive_starvation_count
16,4,1,poisson,8,taps_unified_v5,reactive_admission,95.71011053605082,0.1185779125002157,100.31185663704936,0.08851337043721617,-0.04808004165103555,-0.253542514192471,173.76151307995906,0
16,16,4,bursty,32,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,103.90930179510244,0.10414413674198572,-0.08210298749598634,-0.10601744435209995,280.26846050630104,0
32,8,2,closed_loop,16,taps_domain_v4,taps_unified_v5,112.47741597941513,0.10832332093410578,126.85818479112058,0.10742841667087982,-0.12785472253680974,-0.008261418275482308,456.3353432319919,0
32,16,4,bursty,32,taps_domain_v4,taps_admission_v4,107.7079403189993,0.11665955936126984,133.46765822084708,0.11483680292309834,-0.23916266363979347,-0.015624578458476932,617.2173730634947,0
64,4,4,bursty,32,taps_unified_v5,taps_domain_v4,76.95776139636598,0.144679239400338,76.95776139636598,0.14264413071932933,0.0,-0.014066349045265436,0.0,0
64,8,4,bursty,32,taps_unified_v5,reactive_admission,78.5205155305425,0.19765111103165206,78.64547315470304,0.19835008991640712,-0.0015914009646553905,0.0035364278050687434,243.06041676431988,0
64,16,1,bursty,32,taps_unified_v5,reactive_admission,147.81874089417562,0.11423379055701857,142.20898935430375,0.11064447118451659,0.037950205135950404,-0.03142082001306269,4528.088298038283,0
64,16,2,bursty,32,taps_admission_v4,taps_unified_v5,112.51334287826697,0.17729823521791307,138.68656915930677,0.1740476085097886,-0.23262331036913322,-0.01833423047967293,2402.441868092427,0
64,16,4,bursty,8,taps_admission_v4,taps_domain_v4,97.10747189151104,0.20752819993754879,160.08833997231062,0.11171351290362004,-0.6485687131383888,-0.4616947820236582,775.4931647868913,28
64,16,4,bursty,16,taps_admission_v4,taps_domain_v4,97.09789896803052,0.20806875914853756,94.98279822036257,0.19849485153021165,0.02178317728959665,-0.04601319130033944,1295.8584610821085,0
64,16,4,bursty,32,taps_admission_v4,taps_domain_v4,97.09789896803052,0.20806875914853756,94.98279822036257,0.19849485153021165,0.02178317728959665,-0.04601319130033944,1295.8584610821085,0
64,16,4,bursty,64,taps_admission_v4,taps_domain_v4,97.09789896803052,0.20806875914853756,94.98279822036257,0.19849485153021165,0.02178317728959665,-0.04601319130033944,1295.8584610821085,0
64,16,4,closed_loop,32,taps_admission_v4,taps_domain_v4,97.29148544820269,0.20533062587353829,98.55711855360913,0.198282828799982,-0.013008672851235794,-0.03432413963369003,1381.1976502322484,0
64,16,4,poisson,32,taps_admission_v4,taps_domain_v4,101.24914132833695,0.206879950112423,103.55707534864588,0.20291968143966832,-0.022794603391495676,-0.019142834627534373,1216.9665239472304,0
64,16,8,bursty,32,taps_domain_v4,taps_domain_v4,86.21052034444759,0.21157333905456294,93.1296523644554,0.20694156567063351,-0.08025855768371357,-0.02189204653396772,567.0646602086215,0
64,16,16,bursty,32,taps_unified_v5,taps_domain_v4,90.11066737614868,0.2113869948460617,90.11066737614868,0.2103241707886133,0.0,-0.005027859250387553,0.0,0
64,32,4,bursty,32,taps_unified_v5,taps_unified_v5,117.83661821062489,0.22107876062310347,137.04686406851573,0.21074380043026186,-0.1630244159209817,-0.04674786561908005,2809.838900062949,0
128,16,4,bursty,32,taps_admission_v4,taps_unified_v5,97.20291425826073,0.2728002642091941,122.83567897647795,0.27477649953088196,-0.2637036647904703,0.0072442573595617185,2451.055764258762,0
128,32,8,poisson,32,reactive_admission,taps_unified_v5,118.67497694765095,0.31089813018554247,143.36773954644997,0.304771509500407,-0.20807050680693467,-0.01970619984584384,3713.648851946783,0
128,32,16,bursty,64,reactive_admission,taps_unified_v5,112.55427559792304,0.33824676420935834,136.5376766823057,0.34808906692195307,-0.2130829855816265,0.029097995174028692,2022.5273597799512,0
