mode,config_id,replicate_id,prefill_latency,decode_latency,local_memory_latency,noC_latency,tool_latency,queueing_latency,model_side_latency,mean_jct,p95_jct
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,526.6768300000001,222.29965416000005,0.0,0.0,1948.7293746471405,0.0,748.9764841600002,21.075827021930785,70.43816013015564
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,526.6768300000001,222.29965416000005,0.0,2.3860260202526584,1948.7293746471405,0.0,751.362510180252,21.09446785021401,70.44908068848653
acd_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,21.076809999999867,222.29965416000005,0.3221458616320004,0.03899343725532369,1948.7293746471405,0.0,243.737603458887,17.128648266453343,68.13510711207039
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,524.4593199999999,222.29965416000005,0.0014128988159999999,2.3758246799207186,1948.7293746471405,0.0,749.1362117387362,21.077074893639665,70.44908068848653
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.0287920969233834,1948.7293746471405,0.0,241.5113050173711,17.111255309879,68.13510711207039
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.02404992481555126,1948.7293746471405,0.0,241.5065628452635,17.111218261659406,68.13510509174259
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.02404992481555126,1930.9006067773082,0.0,241.5065628452635,16.971931012676357,67.50559910362155
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,548.7378100000001,231.58942752000004,0.0,0.0,1943.976660490036,0.0,780.3272375199997,21.283624203203406,70.43816013015564
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,548.7378100000001,231.58942752000004,0.0,2.4863740478968324,1943.976660490036,0.0,782.8136115678968,21.3030490004526,70.44912687577474
acd_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,21.38208999999982,231.58942752000004,0.336007626752,0.03915322303808993,1943.976660490036,0.0,253.34667836978983,17.16658858484239,68.13510711207039
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,546.5202999999999,231.58942752000004,0.0014128988159999999,2.4761727075648934,1943.976660490036,0.0,780.5873131263811,21.28565604387826,70.44912687577474
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,19.164579999999866,231.58942752000004,0.33742052556800006,0.028951882706149595,1943.976660490036,0.0,251.12037992827388,17.14919562826805,68.13510711207039
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,19.164579999999866,231.58942752000004,0.33742052556800006,0.024080632036438825,1943.976660490036,0.0,251.11550867760425,17.14915757162219,68.13510562507592
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,1,19.164579999999866,231.58942752000004,0.33742052556800006,0.024080632036438825,1926.2800071095223,0.0,251.11550867760425,17.010902467086932,67.50559963695488
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,554.0756200000002,230.6920245600001,0.0,0.0,1925.8952407836914,0.0,784.76764456,21.17705379174759,70.43816013015564
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,554.0756200000002,230.6920245600001,0.0,2.511007903423051,1925.8952407836914,0.0,787.2786524634223,21.19667104099308,70.44910378213063
acd_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,21.382179999999863,230.6920245600001,0.3394085847040011,0.039149903736995346,1925.8952407836914,0.0,252.45276304844066,17.018343779938537,68.13510711207039
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,551.8581100000001,230.6920245600001,0.0014128988159999999,2.50080656309111,1925.8952407836914,0.0,785.0523540219064,21.179278084418737,70.44910378213063
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,19.164669999999933,230.6920245600001,0.34082148352000097,0.028948563405055052,1925.8952407836914,0.0,250.2264646069247,17.000950823364192,68.13510711207039
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,19.164669999999933,230.6920245600001,0.34082148352000097,0.02394275890048654,1925.8952407836914,0.0,250.22145880242044,17.000911715516498,68.13510535840925
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,2,19.164669999999933,230.6920245600001,0.34082148352000097,0.02394275890048654,1908.3873357295977,0.0,250.22145880242044,16.864131207281403,67.50559937028822
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,526.6768300000001,222.29965416000005,0.0,0.0,1948.7293746471405,0.0,748.9764841600002,21.075827021930785,70.43816013015564
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,526.6768300000001,222.29965416000005,0.0,2.3860260202526584,1948.7293746471405,0.0,751.362510180252,21.09446785021401,70.44908068848653
acd_only,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,21.076809999999867,222.29965416000005,0.3221458616320004,0.03899343725532369,1948.7293746471405,0.0,243.737603458887,17.128648266453343,68.13510711207039
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,524.4593199999999,222.29965416000005,0.0014128988159999999,2.3758246799207186,1948.7293746471405,0.0,749.1362117387362,21.077074893639665,70.44908068848653
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.0287920969233834,1948.7293746471405,0.0,241.5113050173711,17.111255309879,68.13510711207039
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.02404992481555126,1948.7293746471405,0.0,241.5065628452635,17.111218261659406,68.13510509174259
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,0,18.85929999999994,222.29965416000005,0.3235587604480003,0.02404992481555126,1930.9006067773082,0.0,241.5065628452635,16.971931012676357,67.50559910362155
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,1,548.7378100000001,231.58942752000004,0.0,0.0,1943.976660490036,0.0,780.3272375199997,21.283624203203406,70.43816013015564
