policy,status,jct,jct_delta_vs_naive,jct_ratio_vs_naive,time_to_first_success,time_to_first_success_delta_vs_naive,time_to_first_success_ratio_vs_naive,prefill_tokens_avoided,prefill_tokens_avoided_delta_vs_naive,prefill_tokens_avoided_ratio_vs_naive,branch_wasted_tokens,branch_wasted_tokens_delta_vs_naive,branch_wasted_tokens_ratio_vs_naive,resume_prefill_tokens,resume_prefill_tokens_delta_vs_naive,resume_prefill_tokens_ratio_vs_naive,region_utilization,region_utilization_delta_vs_naive,region_utilization_ratio_vs_naive
naive_wafer,ok,10.795124711964615,0.0,1.0,10.795124711964615,0.0,1.0,0.0,,,0.0,,,171915.0,0.0,1.0,1.0,0.0,1.0
static_branch_pinning,ok,10.795124711964615,0.0,1.0,10.795124711964615,0.0,1.0,0.0,,,0.0,,,171915.0,0.0,1.0,1.0,0.0,1.0
wafer_fcfs,ok,10.795124711964615,0.0,1.0,10.795124711964615,0.0,1.0,0.0,,,0.0,,,171915.0,0.0,1.0,1.0,0.0,1.0
acd_only,ok,9.486902171616489,-1.308222540348126,0.8788135778646283,9.486902171616489,-1.308222540348126,0.8788135778646283,158582.0,,,0.0,,,21687.0,-150228.0,0.12614955065003053,1.0,0.0,1.0
acd_bes,ok,9.486902171616489,-1.308222540348126,0.8788135778646283,9.486902171616489,-1.308222540348126,0.8788135778646283,158582.0,,,0.0,,,21687.0,-150228.0,0.12614955065003053,1.0,0.0,1.0
acd_nisp,ok,9.314872314145546,-1.4802523978190685,0.8628776936519823,9.314872314145546,-1.4802523978190685,0.8628776936519823,180269.0,,,0.0,,,25659.0,-146256.0,0.1492539917982724,1.0,0.0,1.0
full_agentweaver,ok,9.314872314145546,-1.4802523978190685,0.8628776936519823,9.314872314145546,-1.4802523978190685,0.8628776936519823,180269.0,,,0.0,,,25659.0,-146256.0,0.1492539917982724,1.0,0.0,1.0
