run_id,segment_type,unique_segments,total_accesses,repeated_prefill_tokens,exact_prefix_reusable_tokens
mini_swe_lite5_patchcap_verified,system,1,75,14504,196
mini_swe_lite5_patchcap_verified,repo,89,694,289097,38158
mini_swe_lite5_patchcap_verified,history,56,431,113417,16462
