run_id,segment_type,unique_segments,total_accesses,repeated_prefill_tokens,exact_prefix_reusable_tokens
mini_swe_lite10_r4_timed,system,1,391,43290,111
mini_swe_lite10_r4_timed,repo,432,2503,1157280,150504
mini_swe_lite10_r4_timed,history,275,1348,174970,43907
mini_swe_lite10_r4_timed,patch,2,9,16338,0
mini_swe_lite10_r4_timed,test_log,1,2,89,89
