config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,source_file,comparable_axis,oracle_policy,session_pressure,region_pressure,memory_pressure_bucket,memory_pressure_bucket_id,arrival_closed_loop,arrival_poisson,arrival_bursty,high_domain_locality,high_tool_blocking,high_region_pressure,high_session_pressure,available_policies,missing_policies,best_policy_by_p95,best_policy_by_throughput,best_policy_by_ready_wait,best_policy_by_objective,policy_coverage_count,objective
aligned:ts128:al32:er16:arrbursty:mem64,128,32,16,bursty,64,taps_admission_v4,0.33497107620549527,60.73906908143146,117.10966759953453,283.5108242511362,2008.3915021829482,0.6243873889002205,0.991717110373289,0.15936718160615587,1614163984384.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,2.0,high,3,0,0,1,1,1,0,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,taps_unified_v5,7,125.90777065376587
aligned:ts128:al32:er16:arrbursty:mem64,128,32,16,bursty,64,taps_domain_v4,0.28328741299128307,60.87959315019426,182.97444120763518,275.2770034317707,2025.1974555715597,0.5282122178360256,0.9888104244700585,0.13477795487400124,1411010994176.0,16559915008.0,8,data/results/taps_unified_pr4_v5.csv,true,false,4.0,2.0,high,3,0,0,1,1,1,0,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,taps_unified_v5,7,192.31748570776122
aligned:ts128:al32:er16:arrbursty:mem64,128,32,16,bursty,64,taps_unified_adaptive_v6,0.34808906692195307,60.8288900924938,136.5376766823057,285.9745289560492,2022.5273597799512,0.6483908754211948,0.9928378025812016,0.16560824943953217,1255559782400.0,16559915008.0,0,data/results/taps_unified_adaptive_pr4_v6.csv,true,false,4.0,2.0,high,3,0,0,1,1,1,0,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,taps_unified_v5,7,145.22256403158494
aligned:ts128:al32:er16:arrbursty:mem64,128,32,16,bursty,64,taps_unified_v5,0.3308093867804849,60.69626179811913,107.76789232546693,290.7079477041533,2004.5476534971194,0.6163658071997433,0.9928378025812016,0.1573871995674163,1456216702976.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,2.0,high,3,0,0,1,1,1,0,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,taps_unified_v5,7,116.59905081728591
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,acd_nisp,0.2566854583161611,68.08026316732632,119.32316811804048,284.1173321382763,4349.712237092235,0.6055751592256075,0.9889684708070718,0.1221217023109051,876270108672.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,130.37236616834414
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,reactive_admission,0.2566854583161611,68.08026316732632,119.32316811804048,284.1173321382763,4349.712237092235,0.6055751592256075,0.9889684708070718,0.1221217023109051,876270108672.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,130.37236616834414
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,static_admission,0.12347589052941046,86.84524517280008,133.9806422134658,284.19792766071566,6251.161397949125,0.3516531394650491,0.0,0.05874538450570723,0.0,0.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,150.11493234273172
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,taps_admission_v4,0.30426628249940835,65.4206401824603,121.26803975052457,284.7560375365267,4011.6723544107126,0.7171176582409601,0.9938085084648531,0.14475894590363317,861108011008.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,131.30950496202254
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,taps_domain_v4,0.27350087910766085,64.13287365259717,221.9255919731502,268.73266686950217,3846.041436131666,0.6448202602113043,0.9919883473241722,0.13012187429416888,846951555072.0,16559915008.0,8,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,232.01715791259304
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,taps_unified_adaptive_v6,0.304771509500407,63.087418452020856,143.36773954644997,283.5745647757417,3713.648851946783,0.7181212429573531,0.9938085084648531,0.1449993147263167,735332204544.0,16559915008.0,0,data/results/taps_unified_adaptive_pr4_v6.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,152.9375081418501
