total_sessions,active_session_limit,effective_regions,policy,throughput,mean_jct,p95_jct,p99_jct,region_utilization,ready_queue_empty_time,blocked_session_fraction,completed_sessions,admission_count,eviction_count,admission_throughput_gain,admission_p95_jct_gain,admission_region_util_gain
16,4,1,static_admission,0.06254428328277241,44.84292815791452,107.37740244089362,130.91921765741805,0.5977190935398612,102.91099626582715,0.11540896163316172,16,16,0,0.5586314233549952,0.13609282382295512,0.17075343521639297
16,4,1,reactive_admission,0.11921889001300713,31.765359132526907,105.18175089347909,128.40188594742744,0.9398150017375709,8.077243229607376,0.11125728475733494,16,16,0,0.5586314233549952,0.13609282382295512,0.17075343521639297
16,4,1,taps_admission,0.09748348527574559,35.46348791622225,92.76410852793853,124.44033096553582,0.7684725287562542,38.000688315784075,0.1036188866340613,16,16,0,0.5586314233549952,0.13609282382295512,0.17075343521639297
16,4,2,static_admission,0.07836985975631611,29.129625334142144,91.15076883239752,118.24093055367823,0.3744799610430109,139.57165263583485,0.17978234487911368,16,16,0,0.4583634637140355,0.050579490236763044,0.07600692040862778
16,4,2,reactive_admission,0.12798418981731316,24.273282404641204,91.8372180899039,118.37979684903955,0.5044563892618725,84.71629118769548,0.1146952400976294,16,16,0,0.4583634637140355,0.050579490236763044,0.07600692040862778
16,4,2,taps_admission,0.11429174012500436,25.611506814353632,86.54040941016582,117.33896435179864,0.4504868814516387,90.73743007287071,0.15120865045835097,16,16,0,0.4583634637140355,0.050579490236763044,0.07600692040862778
16,4,4,static_admission,0.08412175615004762,24.56442936315564,87.03031261142796,116.73540647690382,0.20098231682366027,176.65846297092597,0.1858335674849493,16,16,0,0.4538864657538021,0.012438283281773854,0.04005047553235666
16,4,4,reactive_admission,0.13043316797068993,22.890799903634974,85.94780492906568,115.3241091160581,0.25705458247773627,120.41955618736564,0.1176944779782259,16,16,0,0.4538864657538021,0.012438283281773854,0.04005047553235666
16,4,4,taps_admission,0.1223034827419959,22.890799903634974,85.94780492906568,115.3241091160581,0.24103279235601693,123.98357688805456,0.1520363763190001,16,16,0,0.4538864657538021,0.012438283281773854,0.04005047553235666
16,4,8,static_admission,0.08412175615004762,24.56442936315564,87.03031261142796,116.73540647690382,0.10049115841183014,190.20049904166132,0.1858335674849493,16,16,0,0.4538864657538021,0.012438283281773854,0.02002523776617833
16,4,8,reactive_admission,0.13043316797068993,22.890799903634974,85.94780492906568,115.3241091160581,0.12852729123886814,122.66818516280622,0.1176944779782259,16,16,0,0.4538864657538021,0.012438283281773854,0.02002523776617833
16,4,8,taps_admission,0.1223034827419959,22.890799903634974,85.94780492906568,115.3241091160581,0.12051639617800847,130.8221126764856,0.1520363763190001,16,16,0,0.4538864657538021,0.012438283281773854,0.02002523776617833
16,4,16,static_admission,0.08412175615004762,24.56442936315564,87.03031261142796,116.73540647690382,0.05024557920591507,190.20049904166132,0.1858335674849493,16,16,0,0.4538864657538021,0.012438283281773854,0.010012618883089165
16,4,16,reactive_admission,0.13043316797068993,22.890799903634974,85.94780492906568,115.3241091160581,0.06426364561943407,122.66818516280622,0.1176944779782259,16,16,0,0.4538864657538021,0.012438283281773854,0.010012618883089165
16,4,16,taps_admission,0.1223034827419959,22.890799903634974,85.94780492906568,115.3241091160581,0.06025819808900423,130.8221126764856,0.1520363763190001,16,16,0,0.4538864657538021,0.012438283281773854,0.010012618883089165
16,8,1,static_admission,0.07013125325434147,76.37795527465283,136.65811121886347,151.6178576327514,0.6702257492419902,75.23590079008787,0.04086270104753633,16,16,0,0.42619406259881804,0.18311038698033424,0.11824851598654884
16,8,1,reactive_admission,0.105217925521495,54.984207590753996,129.87351289907562,147.62697748030328,0.8294439316287775,25.935667144303054,0.04967925901825585,16,16,0,0.42619406259881804,0.18311038698033424,0.11824851598654884
16,8,1,taps_admission,0.10002077699395584,56.99198132489553,111.63459158957582,146.15085043187295,0.788474265228539,33.83708723386437,0.045084041767270135,16,16,0,0.42619406259881804,0.18311038698033424,0.11824851598654884
16,8,2,static_admission,0.08842998844217798,44.22021395834792,106.01325154336182,130.25714992877883,0.42255094917650204,111.6402766084592,0.061977711746455354,16,16,0,0.3491156995557384,0.08580007715511953,0.04768526023606534
