input_tokens,output_tokens,actual,predicted,ape
512.0,32.0,0.3039977550506592,1.4237051285880546,3.683275139156221
512.0,32.0,0.30522632598876953,1.4237051285880546,3.6644244200627645
512.0,32.0,0.3060431480407715,1.4237051285880546,3.651975179651422
512.0,128.0,1.1721241474151611,1.5645143476598888,0.33476846382701886
512.0,128.0,1.1587803363800049,1.5645143476598888,0.35013884732233624
512.0,128.0,1.1595027446746826,1.5645143476598888,0.3492976664741219
512.0,512.0,4.579910755157471,2.1277512239472243,0.5354164441848243
512.0,512.0,4.584106922149658,2.1277512239472243,0.5358417113557546
512.0,512.0,4.586363077163696,2.1277512239472243,0.5360700432676886
512.0,780.0,6.970702648162842,2.5208436271894277,0.6383659217118081
512.0,780.0,6.969724655151367,2.5208436271894277,0.6383151771531955
512.0,780.0,6.972360372543335,2.5208436271894277,0.6384519025843339
1024.0,32.0,0.3337068557739258,1.431106470049159,3.2885138416775033
1024.0,32.0,0.32060766220092773,1.431106470049159,3.4637313413684776
1024.0,32.0,0.32100892066955566,1.431106470049159,3.4581517144887384
1024.0,128.0,1.173875331878662,1.5719156891209927,0.3390823083447111
1024.0,128.0,1.1755321025848389,1.5719156891209927,0.3371950333509046
1024.0,128.0,1.170619010925293,1.5719156891209927,0.34280724509890076
1024.0,284.0,2.559835910797119,1.800730670112723,0.2965444923569397
1024.0,284.0,2.5605390071868896,1.800730670112723,0.29673765365087035
1024.0,284.0,2.562647819519043,1.800730670112723,0.29731637082668516
1024.0,284.0,2.5633015632629395,1.800730670112723,0.297495583071196
1024.0,284.0,2.5647799968719482,1.800730670112723,0.29790053247883774
1024.0,284.0,2.5647079944610596,1.800730670112723,0.2978808215197522
2048.0,32.0,0.32091498374938965,1.4607118358935756,3.5517096734700337
2048.0,32.0,0.3267185688018799,1.4607118358935756,3.470856496617865
2048.0,32.0,0.3273169994354248,1.4607118358935756,3.4626824711612763
2048.0,128.0,1.1823861598968506,1.6015210549654095,0.3544822404764308
2048.0,128.0,1.182724952697754,1.6015210549654095,0.35409424762062935
2048.0,128.0,1.182081937789917,1.6015210549654095,0.35483083174394675
2048.0,313.0,2.8323023319244385,1.8728721542184232,0.3387456794042605
2048.0,313.0,2.8319008350372314,1.8728721542184232,0.33865192910478437
2048.0,313.0,2.830822706222534,1.8728721542184232,0.3384000523587737
2048.0,313.0,2.8279430866241455,1.8728721542184232,0.3377263626425514
2048.0,313.0,2.8326919078826904,1.8728721542184232,0.33883662073991283
2048.0,313.0,2.83284592628479,1.8728721542184232,0.33887256739209587
4096.0,32.0,0.4687199592590332,1.5791332992712424,2.369033616079811
4096.0,32.0,0.33655667304992676,1.5791332992712424,3.692027898186956
4096.0,32.0,0.3382549285888672,1.5791332992712424,3.668470924752153
4096.0,128.0,1.1997284889221191,1.7199425183430765,0.43360979940414446
4096.0,128.0,1.1990690231323242,1.7199425183430765,0.434398258283811
4096.0,128.0,1.185953140258789,1.7199425183430765,0.45026178518972904
4096.0,288.0,2.6361632347106934,1.9546245501294663,0.25853432579869157
4096.0,288.0,2.636457920074463,1.9546245501294663,0.25861720179692427
4096.0,288.0,2.63600492477417,1.9546245501294663,0.25848979576662906
4096.0,288.0,2.633103370666504,1.9546245501294663,0.2576726869501131
4096.0,288.0,2.6222431659698486,1.9546245501294663,0.25459828611793156
4096.0,288.0,2.6210358142852783,1.9546245501294663,0.25425492491316204
8192.0,32.0,0.6559081077575684,2.0528191527819097,2.129735901268439
8192.0,32.0,0.35286736488342285,2.0528191527819097,4.817537570979685
8192.0,32.0,0.36027097702026367,2.0528191527819097,4.697986470518406
8192.0,128.0,1.2354700565338135,2.1936283718537437,0.7755415117126365
8192.0,128.0,1.2363550662994385,2.1936283718537437,0.7742705405976464
8192.0,128.0,1.2274961471557617,2.1936283718537437,0.7870755659287505
8192.0,362.0,3.379364490509033,2.536850843341339,0.24931126829730837
8192.0,362.0,3.3935043811798096,2.536850843341339,0.2524392019616726
8192.0,362.0,3.41807222366333,2.536850843341339,0.25781239326111705
8192.0,362.0,3.398250102996826,2.536850843341339,0.2534831850356871
8192.0,362.0,3.4105606079101562,2.536850843341339,0.25617775639066825
8192.0,362.0,3.426229238510132,2.536850843341339,0.2595793606488316
16384.0,32.0,1.073427438735962,3.9475625668245784,2.677530892514838
16384.0,32.0,0.3732938766479492,3.9475625668245784,9.574945944124062
16384.0,32.0,0.37703609466552734,3.9475625668245784,9.469985825432715
16384.0,128.0,1.2920732498168945,4.088371785896412,2.1641950535511776
16384.0,128.0,1.2777955532073975,4.088371785896412,2.1995508010919127
16384.0,128.0,1.2769827842712402,4.088371785896412,2.2015872384917077
16384.0,512.0,4.85094428062439,4.651608662183748,0.04109212699820661
16384.0,512.0,4.867745399475098,4.651608662183748,0.04440181635519722
16384.0,512.0,4.915153980255127,4.651608662183748,0.053618934245005904
16384.0,1024.0,10.024024248123169,5.402591163900196,0.4610357048057081
16384.0,1024.0,10.009873151779175,5.402591163900196,0.4602737635151822
16384.0,1024.0,9.922506332397461,5.402591163900196,0.45552152017676467
