config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions,replicates,throughput_std,mean_jct_std,p95_jct_std,p99_jct_std,ready_queue_wait_std,completed_sessions_mean,starvation_count_mean,validity,invalid_reason
aligned_v9_stratified:ts32:al4:er1:arrpoisson:mem8,32,4,1,poisson,8,taps_domain_v4,0.06625929774022833,38.20141204971356,23.516371118901382,107.36635703573316,221.45842797264353,366.68107325047924,0.5472756709313451,0.9870587946995681,0.3061680284778025,0.0,8483586048.0,0,32,1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,true,
aligned_v9_stratified:ts32:al4:er1:arrpoisson:mem8,32,4,1,poisson,8,taps_admission_v4,0.09469259818596071,35.84718880006013,22.323816205972385,107.17064878796802,223.55999205104328,291.34592926156944,0.7821235203492112,0.9870587946995681,0.4375513639112172,0.0,8333000704.0,0,32,1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,true,
aligned_v9_stratified:ts32:al4:er1:arrpoisson:mem8,32,4,1,poisson,8,taps_unified_v5,0.07219662352913257,38.00580957546203,19.121445536232116,136.75656032625514,246.25324225850576,227.30279440332535,0.5875706030999881,0.9820683944361748,0.36813748199054586,0.0,7868743680.0,8,24,1,0.0,0.0,0.0,0.0,0.0,24.0,8.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts32:al4:er1:arrpoisson:mem8,32,4,1,poisson,8,taps_unified_adaptive_v6,0.06994275100976438,38.10448176202933,18.783727000192158,133.583182666286,238.7642272184952,199.7399829975948,0.5762659728278259,0.9815581041942893,0.3703647953579603,0.0,7699980288.0,9,23,1,0.0,0.0,0.0,0.0,0.0,23.0,9.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,reactive_admission,0.17325773941685194,40.02947764210102,28.717759568703045,98.96238010722713,190.28255140406822,992.079424561465,0.8988569458204697,0.987599666948778,0.3064991174163881,84821352448.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,acd_nisp,0.17325773941685194,40.02947764210102,28.717759568703045,98.96238010722713,190.28255140406822,992.079424561465,0.8988569458204697,0.987599666948778,0.3064991174163881,84821352448.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,taps_domain_v4,0.17875542106914155,39.98094196285217,24.409550762314765,126.67483389805834,188.47964373423315,989.2214932981784,0.9270319542651834,0.9893159772072353,0.31622471224369286,81464950784.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,taps_admission_v4,0.16841748121901876,39.711301178977195,30.57032543814553,88.10885727927742,189.10199810887434,972.0312778157804,0.8733311456267603,0.9898827125171751,0.29793652811621296,83389472768.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,taps_unified_v5,0.17171563868715223,41.338511553816936,34.16518021974965,96.17615853644851,198.7426886209655,1076.1671797242432,0.8904412478459949,0.9898827125171751,0.30377108625188776,84501889024.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
aligned_v9_stratified:ts64:al8:er2:arrbursty:mem16,64,8,2,bursty,16,taps_unified_adaptive_v6,0.17290482101161503,40.0288420233635,32.66731490566501,87.31573636733144,197.4369392872186,992.4370217329842,0.8964880139071411,0.9898827125171751,0.30587479217649305,66763497472.0,16559915008.0,0,64,1,0.0,0.0,0.0,0.0,0.0,64.0,0.0,true,
