run_id,policy,config_id,schedule_jsonl,llm_events,cached_tokens,recompute_tokens,local_context_bytes,remote_context_bytes,schedule_remote_kv_bytes,simulator_remote_kv_bytes,schedule_match_error,prefetch_bytes,tool_latency_hidden,eviction_count,completed_sessions,total_sessions,starvation_count
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,acd_nisp,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,2758017024,33873502208,153816104960.0,153816104960.0,0.0,0,0.0,0,16,16,0
pr4_v12_stp_ae_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,STP-AE,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,2758017024,33873502208,153816104960.0,153816104960.0,0.0,184295,0.7569680213928223,0,16,16,0
pr4_v12_taps_c_v3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,TAPS-C-v3,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v12_taps_c_v3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,10220019712,26411499520,67833765888.0,67833765888.0,0.0,0,0.0,0,16,16,0
pr4_v12_taps_c_v3_stp_ae_top3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,TAPS-C-v3 + STP-AE-top3,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v12_taps_c_v3_stp_ae_top3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,10220019712,26411499520,67833765888.0,67833765888.0,0.0,184295,0.7569680213928223,0,16,16,0
pr4_v12_full_agentweaver_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,full AgentWeaver,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,10220019712,26411499520,67833765888.0,67833765888.0,0.0,184295,0.7569680213928223,0,16,16,0
pr4_v12_acd_nisp_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,acd_nisp,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v12_acd_nisp_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5668843,38344,27014529024,298059603968,1911375814656.0,1911375814656.0,0.0,0,0.0,0,128,128,0
pr4_v12_stp_ae_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,STP-AE,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v12_stp_ae_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5668843,38344,27014529024,298059603968,1911375814656.0,1911375814656.0,0.0,183723,0.7569680213928223,0,128,128,0
pr4_v12_taps_c_v3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,TAPS-C-v3,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v12_taps_c_v3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5676001,31186,278747062272,46737539072,46737539072.0,46737539072.0,0.0,0,0.0,0,128,128,0
pr4_v12_taps_c_v3_stp_ae_top3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,TAPS-C-v3 + STP-AE-top3,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v12_taps_c_v3_stp_ae_top3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5676001,31186,278747062272,46737539072,46737539072.0,46737539072.0,0.0,183723,0.7569680213928223,0,128,128,0
pr4_v12_full_agentweaver_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,full AgentWeaver,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v12_full_agentweaver_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5676001,31186,278747062272,46737539072,46737539072.0,46737539072.0,0.0,183723,0.7569680213928223,0,128,128,0
