policy,rows,mean_jct,p95_jct,throughput,ready_queue_wait,region_utilization,resume_prefill_tokens,cache_hit_tokens,remote_kv_bytes,tool_latency_hidden,invalid_selection_rate,starvation_count,stp_wasted_work_overhead,stp_safety_violations
reactive_admission,320,77.10692974673428,134.67168889175366,0.1304407759304765,3428.033414881713,0.6093997814831771,0.0,0.0,285332183987.2,0.0,0.0,0.0,,
acd_nisp,320,77.10692974673428,134.67168889175366,0.1304407759304765,3428.033414881713,0.6093997814831771,0.0,0.0,285332183987.2,0.0,0.0,0.0,,
taps_admission_v4,320,76.1443689760709,135.57664196165726,0.1441703758642181,3315.4821977230845,0.6629293686943334,0.0,0.0,293351276407.4667,0.0,0.0,0.0,,
taps_domain_v4_fixed,320,71.15578091702778,154.22603690657928,0.13082152467679564,3132.6706314421813,0.6132236132935308,0.0,0.0,105956617625.6,0.0,0.0,0.0,,
taps_unified_v5_fixed,320,73.73936523889269,129.88341349286918,0.1450654198045652,3169.2834449523807,0.6672108320042929,0.0,0.0,92597842235.73334,0.0,0.0,0.0,,
TAPS-C-v3,60,69.38355456830092,123.08112010530462,0.1451516307289795,2759.5448562271863,0.6734638406953796,0.0,0.0,123822145444.97778,0.0,0.0,0.0,,
TAPS-C-v3 + STP,60,67.0736315388207,123.08112010530462,0.1451516307289795,2759.5448562271863,0.6734638406953796,0.0,0.0,123822145444.97778,6.0474021434783936,0.0,0.0,0.09451120008935346,0
