config_id,policy,raw_remote_bytes,policy_remote_bytes,remote_reduction,raw_compute_time,policy_compute_time,compute_reduction,local_memory_bytes,communication_nodes,memory_nodes,delay_nodes,dependency_count,schedule_match_error,ASTRA_SIM_RUN_COMPLETED,CHAKRA_PROTO_EXPORT,per_npu_file_count,schedule_jsonl
aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,full_agentweaver,325579448320.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_full_agentweaver_aligned_v10_stratified_ts128_al32_er1_arrbursty__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,raw,325579448320.0,325579448320.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1286,0,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_raw_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,acd_only,325579448320.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_only_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,nisp_only,325579448320.0,14574895104.0,0.955233983044056,1349.024254881326,1349.024254881326,0.0,311004553216,1286,1175,0,4939,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_nisp_only_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,acd_nisp,325579448320.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_nisp_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,acd_nisp_taps_c,325579448320.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_nisp_taps_c_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts128:al4:er1:arrpoisson:mem64,full_agentweaver,325579448320.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_full_agentweaver_aligned_v10_stratified_ts128_al4_er1_arrpoisson__schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,raw,37685329920.0,37685329920.0,0.0,152.10623549043302,152.10623549043302,0.0,0,150,0,0,444,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_raw_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,acd_only,37685329920.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_only_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,nisp_only,37685329920.0,1114021888.0,0.9704388447609483,152.10623549043302,152.10623549043302,0.0,36571308032,150,139,0,583,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_nisp_only_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
