policy,status,jct,jct_delta_vs_naive,jct_ratio_vs_naive,time_to_first_success,time_to_first_success_delta_vs_naive,time_to_first_success_ratio_vs_naive,prefill_tokens_avoided,prefill_tokens_avoided_delta_vs_naive,prefill_tokens_avoided_ratio_vs_naive,branch_wasted_tokens,branch_wasted_tokens_delta_vs_naive,branch_wasted_tokens_ratio_vs_naive,resume_prefill_tokens,resume_prefill_tokens_delta_vs_naive,resume_prefill_tokens_ratio_vs_naive,region_utilization,region_utilization_delta_vs_naive,region_utilization_ratio_vs_naive
naive_wafer,ok,56.35340704161426,0.0,1.0,56.35340704161426,0.0,1.0,0.0,,,0.0,,,1461245.0,0.0,1.0,0.5665790907924929,0.0,1.0
static_branch_pinning,ok,56.35340704161426,0.0,1.0,56.35340704161426,0.0,1.0,0.0,,,0.0,,,1461245.0,0.0,1.0,0.5522376134025485,-0.014341477389944401,0.97468759856654
wafer_fcfs,ok,56.35340704161426,0.0,1.0,56.35340704161426,0.0,1.0,0.0,,,0.0,,,1461245.0,0.0,1.0,0.5665790907924929,0.0,1.0
acd_only,ok,54.944513992116114,-1.4088930494981469,0.9749989730264623,54.944513992116114,-1.4088930494981469,0.9749989730264623,1339007.0,,,0.0,,,191388.0,-1269857.0,0.13097598280917985,0.5359723940010006,-0.030606696791492305,0.9459798335503669
acd_bes,ok,54.944513992116114,-1.4088930494981469,0.9749989730264623,54.944513992116114,-1.4088930494981469,0.9749989730264623,1339007.0,,,0.0,,,191388.0,-1269857.0,0.13097598280917985,0.5359723940010006,-0.030606696791492305,0.9459798335503669
acd_nisp,ok,54.7884073685315,-1.5649996730827596,0.9722288366357853,54.7884073685315,-1.5649996730827596,0.9722288366357853,1530344.0,,,0.0,,,192732.0,-1268513.0,0.1318957464354027,0.5310912766543809,-0.03548781413811197,0.9373647656349725
full_agentweaver,ok,54.7884073685315,-1.5649996730827596,0.9722288366357853,54.7884073685315,-1.5649996730827596,0.9722288366357853,1530344.0,,,0.0,,,192732.0,-1268513.0,0.1318957464354027,0.5310912766543809,-0.03548781413811197,0.9373647656349725
