config_id,policy,ASTRA_EXPORT_FORMAT,ASTRA_SIM_RUN_COMPLETED,raw_remote_bytes,policy_remote_bytes,remote_reduction,raw_compute_time,policy_compute_time,compute_reduction,local_memory_bytes,communication_nodes,memory_nodes,delay_nodes,dependency_count,schedule_match_error,per_npu_file_count
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,raw,intermediate_json,false,327272931328.0,327272931328.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1303,0,0,3781,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,acd_nisp,intermediate_json,false,327272931328.0,302579744768.0,0.07545135633368943,1349.024254881326,1115.4693725444831,0.17312874953266777,21111078912,1172,94,0,3744,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,TAPS-C-v3,intermediate_json,false,327272931328.0,179056525312.0,0.45288318045299725,1349.024254881326,1114.61525741126,0.17376188502310286,145899823104,733,547,0,3758,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,TAPS-C-v3 + STP-exact,intermediate_json,false,327272931328.0,179056525312.0,0.45288318045299725,1349.024254881326,1114.61525741126,0.17376188502310286,145899823104,733,547,0,3758,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64,raw,intermediate_json,false,327272931328.0,327272931328.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1303,0,0,3781,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64,acd_nisp,intermediate_json,false,327272931328.0,305734123520.0,0.06581298282323673,1349.024254881326,1114.9902433131228,0.17348391678012579,18667077632,1193,81,0,3752,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64,TAPS-C-v3,intermediate_json,false,327272931328.0,307036635136.0,0.061833088700265125,1349.024254881326,1114.193492061425,0.17407452977230495,18542813184,1201,85,0,3764,0.0,16
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64,TAPS-C-v3 + STP-exact,intermediate_json,false,327272931328.0,307036635136.0,0.061833088700265125,1349.024254881326,1114.193492061425,0.17407452977230495,18542813184,1201,85,0,3764,0.0,16
aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,raw,intermediate_json,false,327272931328.0,327272931328.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1303,0,0,3781,0.0,1
aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,acd_nisp,intermediate_json,false,327272931328.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,1
aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,TAPS-C-v3,intermediate_json,false,327272931328.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,1
aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,TAPS-C-v3 + STP-exact,intermediate_json,false,327272931328.0,0.0,1.0,1349.024254881326,1114.193492061425,0.17407452977230495,325579448320,0,1286,0,3764,0.0,1
aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,raw,intermediate_json,false,327272931328.0,327272931328.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1303,0,0,3781,0.0,4
