instance_id,branch_id,measured_agent_jct,measured_llm_wall_time,measured_tool_wall_time,measured_orchestration_or_other_time,tool_time_share,llm_time_share,simulated_naive_prefill_time,simulated_full_prefill_time,simulated_decode_time,simulated_context_reuse_savings,simulated_cached_tokens,policy
astropy__astropy-12907,b0,123.27616763114929,17.386940479278564,105.8309223651886,0.058304786682128906,0.8584864730857139,0.14104056618065447,1.8412738771019848,0.5263217494084559,16.393397474696847,1.314952127693529,32592,naive_vs_full_agentweaver
astropy__astropy-12907,b1,7.401278018951416,6.0392961502075195,1.3141517639160156,0.04783010482788086,0.17755741110535928,0.8159801773076947,1.2679376981409791,0.360747233759263,5.415100274846201,0.9071904643817161,22734,naive_vs_full_agentweaver
astropy__astropy-12907,b2,12.080960035324097,10.030473947525024,1.8908295631408691,0.15965652465820312,0.15651318749604187,0.8302712630615814,2.082971643470765,0.5250474091572611,9.202743408317074,1.5579242343135036,38128,naive_vs_full_agentweaver
astropy__astropy-12907,b3,73.92709851264954,7.083369970321655,66.78630805015564,0.05742049217224121,0.9034076731515163,0.0958156090639704,1.2961634976872611,0.36363758629373694,6.5294819706840155,0.9325259113935243,23715,naive_vs_full_agentweaver
django__django-11815,b0,11.148952960968018,9.205450057983398,1.8868319988250732,0.0566709041595459,0.16923849310610486,0.8256784372677205,1.5197993303671242,0.47429576993943845,8.513251883266816,1.0455035604276857,26260,naive_vs_full_agentweaver
django__django-11815,b1,23.864900827407837,7.6422014236450195,16.171902179718018,0.050797224044799805,0.6776438040398335,0.32022766316582685,1.2486141899732928,0.3711412328712234,7.096111246704631,0.8774729571020694,22173,naive_vs_full_agentweaver
django__django-11815,b2,9.877041578292847,6.618204832077026,3.2056467533111572,0.053189992904663086,0.3245553567736649,0.6700594281816237,1.1545320841435174,0.32771418240231787,6.124013686041976,0.8268179017411995,21166,naive_vs_full_agentweaver
django__django-11815,b3,15.277130365371704,12.229849100112915,2.835916757583618,0.2113645076751709,0.18563150865110906,0.8005331372856523,4.289866261468968,0.8263669599435064,10.879155353170791,3.463499301525462,79261,naive_vs_full_agentweaver
django__django-11848,b0,9.669267177581787,6.304857492446899,3.0818769931793213,0.2825326919555664,0.3187291173755813,0.6520512233920605,1.9078721414901785,0.5852967963306511,5.353448852608899,1.3225753451595272,32494,naive_vs_full_agentweaver
django__django-11848,b1,14.227964401245117,6.528738498687744,7.435870409011841,0.2633554935455322,0.5226236304303034,0.4588666596689265,1.7473313777039858,0.4437254200865185,5.733758522799913,1.3036059576174672,32471,naive_vs_full_agentweaver
django__django-11848,b2,8.828710317611694,5.857073068618774,2.673978328704834,0.29765892028808594,0.3028730394937442,0.6634120792178404,2.1474389996964893,0.5374362846999486,4.872594556992449,1.6100027149965408,39320,naive_vs_full_agentweaver
django__django-11848,b3,7.5333404541015625,5.310745477676392,2.113184928894043,0.10941004753112793,0.280511008598252,0.704965547492936,0.838882839853494,0.2620624924062945,4.79271254324707,0.5768203474471996,14816,naive_vs_full_agentweaver
django__django-11964,b0,10.7922842502594,8.256404161453247,2.395820379257202,0.1400597095489502,0.22199381740706256,0.7650284193779272,1.5719291744980282,0.4798969222542381,7.451600722954245,1.09203225224379,27426,naive_vs_full_agentweaver
django__django-11964,b1,25.919219493865967,8.234426259994507,17.509273529052734,0.17551970481872559,0.6755324377416717,0.31769576479504963,1.5587828993972799,0.4313915806900393,7.406539711194843,1.1273913187072406,28363,naive_vs_full_agentweaver
django__django-11964,b2,10.370756387710571,7.510427951812744,2.5210869312286377,0.33924150466918945,0.2430957624475825,0.7241928815059875,5.725501001571245,1.4402440208545524,5.240462405727248,4.285256980716692,86859,naive_vs_full_agentweaver
django__django-11964,b3,12.589534759521484,9.955950021743774,2.4695210456848145,0.1640636920928955,0.19615665652911535,0.7908115916844405,2.0129972954976543,0.5972087552977823,8.889968565117824,1.415788540199872,34591,naive_vs_full_agentweaver
django__django-11999,b0,10.315054655075073,8.374735593795776,1.786825180053711,0.15349388122558594,0.17322498423937885,0.811894446887429,2.456464256224981,0.661709022830501,7.494551176505189,1.79475523339448,43032,naive_vs_full_agentweaver
