run_id,segment_type,unique_segments,total_accesses,repeated_prefill_tokens,exact_prefix_reusable_tokens
mini_swe_lite10_r4,system,1,391,43290,111
mini_swe_lite10_r4,repo,445,2519,1151749,157702
mini_swe_lite10_r4,history,266,1327,222781,54761
mini_swe_lite10_r4,patch,1,1,0,0
