row_type,policy,event_id,actual_tool_class,actual_safe,predicted_top3,launched,tool_latency,tool_latency_hidden,wasted_speculative_work,speculation_hit,safety_violation,simulated_tool_jct,events,mean_jct,p95_jct,mean_jct_gain,p95_jct_gain,speculation_hit_rate,safe_coverage,cost_overhead,safety_violations,stp_gain
event,no_stp,astropy__astropy-12907:b3:tool9,shell_other,false,"[""shell_other"", ""file_read"", ""list_find""]",[],0.8095722198486328,0.0,0,false,0,0.8095722198486328,,,,,,,,,,
event,stp_top1,astropy__astropy-12907:b3:tool9,shell_other,false,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.8095722198486328,0.0,0.24907588958740234,false,0,0.8095722198486328,,,,,,,,,,
event,stp_top3_budgeted,astropy__astropy-12907:b3:tool9,shell_other,false,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.8095722198486328,0.0,0.24907588958740234,false,0,0.8095722198486328,,,,,,,,,,
event,stp_oracle_upper_bound,astropy__astropy-12907:b3:tool9,shell_other,false,"[""shell_other"", ""file_read"", ""list_find""]",[],0.8095722198486328,0.0,0,false,0,0.8095722198486328,,,,,,,,,,
event,no_stp,django__django-11815:b0:tool5,file_read,false,"[""list_find"", ""file_read"", ""shell_other""]",[],0.19393253326416016,0.0,0,false,0,0.19393253326416016,,,,,,,,,,
event,stp_top1,django__django-11815:b0:tool5,file_read,false,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.19393253326416016,0.0,0.20526623725891113,false,0,0.19393253326416016,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b0:tool5,file_read,false,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.19393253326416016,0.0,0.20526623725891113,false,0,0.19393253326416016,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b0:tool5,file_read,false,"[""list_find"", ""file_read"", ""shell_other""]",[],0.19393253326416016,0.0,0,false,0,0.19393253326416016,,,,,,,,,,
event,no_stp,django__django-11815:b0:tool6,list_find,true,"[""list_find"", ""file_read"", ""shell_other""]",[],0.17717528343200684,0.0,0,false,0,0.17717528343200684,,,,,,,,,,
event,stp_top1,django__django-11815:b0:tool6,list_find,true,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.17717528343200684,0.17717528343200684,0.0,true,0,0.0,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b0:tool6,list_find,true,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.17717528343200684,0.17717528343200684,0.0,true,0,0.0,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b0:tool6,list_find,true,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.17717528343200684,0.17717528343200684,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b1:tool5,list_find,true,"[""list_find"", ""python_inspect"", ""shell_other""]",[],0.17500662803649902,0.0,0,false,0,0.17500662803649902,,,,,,,,,,
event,stp_top1,django__django-11815:b1:tool5,list_find,true,"[""list_find"", ""python_inspect"", ""shell_other""]","[""list_find""]",0.17500662803649902,0.17500662803649902,0.0,true,0,0.0,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b1:tool5,list_find,true,"[""list_find"", ""python_inspect"", ""shell_other""]","[""list_find""]",0.17500662803649902,0.17500662803649902,0.0,true,0,0.0,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b1:tool5,list_find,true,"[""list_find"", ""python_inspect"", ""shell_other""]","[""list_find""]",0.17500662803649902,0.17500662803649902,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b1:tool6,python_inspect,true,"[""list_find"", ""file_read"", ""python_inspect""]",[],14.657510757446289,0.0,0,false,0,14.657510757446289,,,,,,,,,,
event,stp_top1,django__django-11815:b1:tool6,python_inspect,true,"[""list_find"", ""file_read"", ""python_inspect""]","[""list_find""]",14.657510757446289,0.0,0.20526623725891113,false,0,14.657510757446289,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b1:tool6,python_inspect,true,"[""list_find"", ""file_read"", ""python_inspect""]","[""list_find""]",14.657510757446289,0.0,0.20526623725891113,false,0,14.657510757446289,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b1:tool6,python_inspect,true,"[""list_find"", ""file_read"", ""python_inspect""]","[""python_inspect""]",14.657510757446289,14.657510757446289,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b2:tool2,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]",[],0.33498167991638184,0.0,0,false,0,0.33498167991638184,,,,,,,,,,
event,stp_top1,django__django-11815:b2:tool2,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.33498167991638184,0.33498167991638184,0.0,true,0,0.0,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b2:tool2,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.33498167991638184,0.33498167991638184,0.0,true,0,0.0,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b2:tool2,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.33498167991638184,0.33498167991638184,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b2:tool7,git_read,false,"[""list_find"", ""file_read"", ""shell_other""]",[],0.17867207527160645,0.0,0,false,0,0.17867207527160645,,,,,,,,,,
event,stp_top1,django__django-11815:b2:tool7,git_read,false,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.17867207527160645,0.0,0.20526623725891113,false,0,0.17867207527160645,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b2:tool7,git_read,false,"[""list_find"", ""file_read"", ""shell_other""]","[""list_find""]",0.17867207527160645,0.0,0.20526623725891113,false,0,0.17867207527160645,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b2:tool7,git_read,false,"[""list_find"", ""file_read"", ""shell_other""]",[],0.17867207527160645,0.0,0,false,0,0.17867207527160645,,,,,,,,,,
event,no_stp,django__django-11815:b2:tool8,file_read,true,"[""list_find"", ""shell_other"", ""file_read""]",[],0.17634844779968262,0.0,0,false,0,0.17634844779968262,,,,,,,,,,
event,stp_top1,django__django-11815:b2:tool8,file_read,true,"[""list_find"", ""shell_other"", ""file_read""]","[""list_find""]",0.17634844779968262,0.0,0.20526623725891113,false,0,0.17634844779968262,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b2:tool8,file_read,true,"[""list_find"", ""shell_other"", ""file_read""]","[""list_find""]",0.17634844779968262,0.0,0.20526623725891113,false,0,0.17634844779968262,,,,,,,,,,
