mode,matched_configs,replicates,mean_jct,mean_jct_std,p95_jct,p95_jct_std,throughput,throughput_std,model_side_latency,prefill_latency,noC_latency,tool_latency,queueing_latency,resume_prefill_tokens,cache_hit_tokens,local_context_bytes,remote_context_bytes,remote_kv_bytes,remote_kv_reduction,memory_occupancy,region_utilization
gpu_reactive,320,3,21.300976058453827,2.1715912913793893,65.7904414943361,13.903209542250211,0.3255297657831432,0.15600583460064438,462.86023873249997,325.6195900208334,0.0,1160.8908149803678,0.0,3530071.6020833333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
naive_wafer,320,3,21.42861115850634,2.1746070448295094,65.95626344643453,13.902547312110222,0.3253428603353305,0.15591525114603574,472.0824244864969,325.6195900208334,2.798723253996964,1160.8908149803678,0.008720465936111052,3530071.6020833333,0.0,0.0,202428425949.86667,203831415769.03113,0.0,0.0,0.696984375
acd_only,320,3,17.341539456499106,2.384248129297476,63.588981250288704,14.041797419431465,0.3289653800196028,0.15706639859786942,157.54282531419233,13.626705270833286,0.05322083188010551,1160.8908149803678,0.008720465936111052,63483.99375,3466587.6083333334,198787999812.26666,3640426137.6,3848688669.582222,0.9811182753401305,0.0,0.696984375
nisp_only,320,3,21.409276814920414,2.172507402867947,65.95626344643453,13.902547312110222,0.3253428603353305,0.15591525114603574,470.66110850325737,324.20974977083335,2.786349233209683,1160.8908149803678,0.008720465936111052,3514406.7104166667,15664.891666666666,898287547.7333333,201530138402.13333,202933128221.2978,0.004407012257380482,1041078289.0666667,0.696984375
acd_nisp,320,3,17.322205112913178,2.3817778667230023,63.588981250288704,14.041797419431465,0.3289653800196028,0.15706639859786942,156.1215093309528,12.216865020833307,0.04084681109282433,1160.8908149803678,0.008720465936111052,47819.10208333333,3482252.5,199686287360.0,2742138589.866667,2950401121.8488894,0.985525287597511,1041078289.0666667,0.696984375
acd_nisp_taps_c,320,3,17.308602106383635,2.380995582574107,63.56734835318443,14.041466927700757,0.32898906110659343,0.157078878854937,155.15094449322018,12.216865020833307,0.033801348360144715,1160.8908149803678,0.007412396045694393,47819.10208333333,3482252.5,199686287360.0,2248553643.275,2444751657.5061207,0.98800601149591,1041078289.0666667,0.696984375
full_agentweaver,320,3,17.169573018506203,2.3571359506429084,62.98218310214248,13.908793415378767,0.33211243954063435,0.1585778657849637,155.15094449322018,12.216865020833307,0.033801348360144715,1150.3167924517372,0.007412396045694393,47819.10208333333,3482252.5,199686287360.0,2248553643.275,2444751657.5061207,0.98800601149591,1041078289.0666667,0.696984375
