mode,local_context_bytes,remote_context_bytes,remote_kv_reduction,avg_hops,NoC_utilization
gpu_reactive,0.0,0.0,1.0,,0.0
naive_wafer,0.0,202428425949.86667,0.0,,0.696984375
acd_only,198787999812.26666,3640426137.6,0.9811182753401305,,0.696984375
nisp_only,898287547.7333333,201530138402.13333,0.004407012257380482,,0.696984375
acd_nisp,199686287360.0,2742138589.866667,0.985525287597511,,0.696984375
acd_nisp_taps_c,199686287360.0,2248553643.275,0.98800601149591,,0.696984375
full_agentweaver,199686287360.0,2248553643.275,0.98800601149591,,0.696984375
