instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,branches_pruned,duplicate_patch_rate,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,online_oracle_gap
django__django-11815,launch_all,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,
django__django-11815,launch_all,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,
django__django-11815,launch_all,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,
django__django-11815,fcfs_budget,1,5,,,,3,0.0,unknown,1,5662,0.35600876808166504,2.9757102182569994,
django__django-11815,fcfs_budget,1,10,,,,3,0.0,unknown,1,11028,0.9432289600372314,5.0303417026957575,
django__django-11815,fcfs_budget,1,15,,,,3,0.0,unknown,1,22462,1.3143367767333984,8.190609502429071,
django__django-11815,fcfs_budget,2,5,,,,2,0.0,unknown,2,11716,0.7336125373840332,6.056521187667949,
django__django-11815,fcfs_budget,2,10,,,,2,0.0,unknown,2,21703,1.9004020690917969,9.654183503489719,
django__django-11815,fcfs_budget,2,15,,,,2,0.0,unknown,2,43659,17.104027271270752,15.347531017254862,
django__django-11815,fcfs_budget,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,
django__django-11815,fcfs_budget,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,
django__django-11815,fcfs_budget,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,
django__django-11815,pabb_online,1,5,,,,3,0.0,unknown,1,5662,0.35600876808166504,2.9757102182569994,
django__django-11815,pabb_online,1,10,,,,3,0.0,unknown,1,11028,0.9432289600372314,5.0303417026957575,
django__django-11815,pabb_online,1,15,,,,3,0.0,unknown,1,22462,1.3143367767333984,8.190609502429071,
django__django-11815,pabb_online,2,5,,,,2,0.0,unknown,2,11716,0.7336125373840332,6.056521187667949,
django__django-11815,pabb_online,2,10,,,,2,0.0,unknown,2,21703,1.9004020690917969,9.654183503489719,
django__django-11815,pabb_online,2,15,,,,2,0.0,unknown,2,43659,17.104027271270752,15.347531017254862,
django__django-11815,pabb_online,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,
django__django-11815,pabb_online,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,
django__django-11815,pabb_online,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,
django__django-11815,pabb_oracle_upper_bound,1,5,,,,3,0.0,unknown,1,5523,0.6897737979888916,2.1809533920295916,
django__django-11815,pabb_oracle_upper_bound,1,10,,,,3,0.0,unknown,1,10063,1.8981192111968994,3.933480392575041,
django__django-11815,pabb_oracle_upper_bound,1,15,,,,3,0.0,unknown,1,17499,2.850626230239868,5.962683657649233,
django__django-11815,pabb_oracle_upper_bound,2,5,,,,2,0.0,unknown,2,11577,1.0673775672912598,5.261764361440541,
django__django-11815,pabb_oracle_upper_bound,2,10,,,,2,0.0,unknown,2,20738,2.855292320251465,8.557322193369002,
django__django-11815,pabb_oracle_upper_bound,2,15,,,,2,0.0,unknown,2,38696,18.64031672477722,13.119605172475026,
django__django-11815,pabb_oracle_upper_bound,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,
django__django-11815,pabb_oracle_upper_bound,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,
django__django-11815,pabb_oracle_upper_bound,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,
django__django-11848,launch_all,1,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,launch_all,1,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,launch_all,1,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11848,launch_all,2,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,launch_all,2,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,launch_all,2,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11848,launch_all,4,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,launch_all,4,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,launch_all,4,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11848,fcfs_budget,1,5,,,,3,0.0,unknown,1,4924,0.8147470951080322,2.0234428216387585,
django__django-11848,fcfs_budget,1,10,,,,3,0.0,unknown,1,10308,1.2423391342163086,4.065747934401865,
django__django-11848,fcfs_budget,1,15,,,,3,0.0,unknown,1,14138,1.963930606842041,5.602653074742038,
django__django-11848,fcfs_budget,2,5,,,,2,0.0,unknown,2,9902,1.4670295715332031,3.7743938963151624,
django__django-11848,fcfs_budget,2,10,,,,2,0.0,unknown,2,21766,2.6252195835113525,8.340942891009684,
django__django-11848,fcfs_budget,2,15,,,,2,0.0,unknown,2,40334,8.42646050453186,11.664911795919245,
django__django-11848,fcfs_budget,4,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,fcfs_budget,4,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,fcfs_budget,4,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11848,pabb_online,1,5,,,,3,0.0,unknown,1,4924,0.8147470951080322,2.0234428216387585,
django__django-11848,pabb_online,1,10,,,,3,0.0,unknown,1,10308,1.2423391342163086,4.065747934401865,
django__django-11848,pabb_online,1,15,,,,3,0.0,unknown,1,14138,1.963930606842041,5.602653074742038,
django__django-11848,pabb_online,2,5,,,,2,0.0,unknown,2,9902,1.4670295715332031,3.7743938963151624,
django__django-11848,pabb_online,2,10,,,,2,0.0,unknown,2,21766,2.6252195835113525,8.340942891009684,
django__django-11848,pabb_online,2,15,,,,2,0.0,unknown,2,40334,8.42646050453186,11.664911795919245,
django__django-11848,pabb_online,4,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,pabb_online,4,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,pabb_online,4,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11848,pabb_oracle_upper_bound,1,5,,,,3,0.0,unknown,1,5248,0.5732159614562988,2.0099964130869,
django__django-11848,pabb_oracle_upper_bound,1,10,,,,3,0.0,unknown,1,9349,1.3570265769958496,4.036932985588336,
django__django-11848,pabb_oracle_upper_bound,1,15,,,,3,0.0,unknown,1,16148,2.113184928894043,5.6315953831005645,
django__django-11848,pabb_oracle_upper_bound,2,5,,,,2,0.0,unknown,2,10226,1.2254984378814697,3.7609474877633033,
django__django-11848,pabb_oracle_upper_bound,2,10,,,,2,0.0,unknown,2,20807,2.7399070262908936,8.312127942196154,
django__django-11848,pabb_oracle_upper_bound,2,15,,,,2,0.0,unknown,2,42344,8.575714826583862,11.693854104277772,
django__django-11848,pabb_oracle_upper_bound,4,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,
django__django-11848,pabb_oracle_upper_bound,4,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,
django__django-11848,pabb_oracle_upper_bound,4,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,
django__django-11964,launch_all,1,5,,,,0,0.0,unknown,4,26018,1.946293592453003,11.607824131786813,
django__django-11964,launch_all,1,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,
django__django-11964,launch_all,1,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,
