objective,policy_a,policy_b,train_pairs,median_abs_error,p95_abs_error,split_type
balanced,reactive_admission,taps_unified_adaptive_v6,98,0.04266271603481017,0.14391784062655563,leave_arrival_bursty
p95_opt,acd_nisp,taps_domain_v4,128,3.8513773398920677,15.782881922425641,leave_arrival_bursty
throughput_opt,acd_nisp,taps_domain_v4,128,0.0005926723246159132,0.004003439632451005,leave_arrival_bursty
balanced,acd_nisp,taps_domain_v4,128,0.04142809017815073,0.17141745812667714,leave_arrival_bursty
p95_opt,acd_nisp,taps_admission_v4,210,5.0617241715345145,23.323971039406803,leave_arrival_bursty
throughput_opt,acd_nisp,taps_admission_v4,210,0.01224180811986203,0.027708101814662787,leave_arrival_bursty
balanced,acd_nisp,taps_admission_v4,210,0.06065204368951249,0.27035657595427515,leave_arrival_bursty
p95_opt,acd_nisp,taps_unified_v5,101,2.942713443738768,13.295537302705789,leave_arrival_bursty
throughput_opt,acd_nisp,taps_unified_v5,101,0.012873504437390798,0.02893727417044193,leave_arrival_bursty
balanced,acd_nisp,taps_unified_v5,101,0.04369751111182406,0.1530418674045906,leave_arrival_bursty
p95_opt,acd_nisp,taps_unified_adaptive_v6,98,3.2001797580137747,11.502912608512364,leave_arrival_bursty
throughput_opt,acd_nisp,taps_unified_adaptive_v6,98,0.014467354135077132,0.028157640333555486,leave_arrival_bursty
balanced,acd_nisp,taps_unified_adaptive_v6,98,0.04266271603481017,0.14391784062655563,leave_arrival_bursty
p95_opt,taps_domain_v4,taps_admission_v4,128,3.8838838188693563,16.564684267614084,leave_arrival_bursty
throughput_opt,taps_domain_v4,taps_admission_v4,128,0.01052744483584836,0.026618462474867932,leave_arrival_bursty
balanced,taps_domain_v4,taps_admission_v4,128,0.0491063894707664,0.15795597418523669,leave_arrival_bursty
p95_opt,taps_domain_v4,taps_unified_v5,78,4.559284202125369,18.42651004899863,leave_arrival_bursty
throughput_opt,taps_domain_v4,taps_unified_v5,78,0.011779420723732163,0.025628012887590465,leave_arrival_bursty
balanced,taps_domain_v4,taps_unified_v5,78,0.05409724074134614,0.19283094132603945,leave_arrival_bursty
p95_opt,taps_domain_v4,taps_unified_adaptive_v6,77,4.391501287756689,19.750483461769207,leave_arrival_bursty
throughput_opt,taps_domain_v4,taps_unified_adaptive_v6,77,0.01279802263200663,0.025553542145930794,leave_arrival_bursty
balanced,taps_domain_v4,taps_unified_adaptive_v6,77,0.046054349787273074,0.16809781173531227,leave_arrival_bursty
p95_opt,taps_admission_v4,taps_unified_v5,101,2.9365289875704796,15.212711613635848,leave_arrival_bursty
throughput_opt,taps_admission_v4,taps_unified_v5,101,0.0010889474303774323,0.005743713594421827,leave_arrival_bursty
balanced,taps_admission_v4,taps_unified_v5,101,0.03640637815645147,0.164424030952111,leave_arrival_bursty
p95_opt,taps_admission_v4,taps_unified_adaptive_v6,98,2.195350564182526,10.476255326565873,leave_arrival_bursty
throughput_opt,taps_admission_v4,taps_unified_adaptive_v6,98,0.0009564156945700251,0.007857184231325458,leave_arrival_bursty
balanced,taps_admission_v4,taps_unified_adaptive_v6,98,0.022928075121730118,0.11183976942497094,leave_arrival_bursty
p95_opt,taps_unified_v5,taps_unified_adaptive_v6,96,1.7370477823190893,10.988648465986353,leave_arrival_bursty
throughput_opt,taps_unified_v5,taps_unified_adaptive_v6,96,0.0005879592082193737,0.006196094888712108,leave_arrival_bursty
balanced,taps_unified_v5,taps_unified_adaptive_v6,96,0.017822066886717808,0.11707301928360454,leave_arrival_bursty
p95_opt,reactive_admission,acd_nisp,219,1.0,0.0,leave_arrival_closed_loop
throughput_opt,reactive_admission,acd_nisp,219,1.0,0.0,leave_arrival_closed_loop
balanced,reactive_admission,acd_nisp,219,1.0,0.0,leave_arrival_closed_loop
p95_opt,reactive_admission,taps_domain_v4,139,4.0099353568723926,22.56312428736752,leave_arrival_closed_loop
throughput_opt,reactive_admission,taps_domain_v4,139,0.0007457798783697305,0.004528323205331366,leave_arrival_closed_loop
balanced,reactive_admission,taps_domain_v4,139,0.03734276932378741,0.21456383752894284,leave_arrival_closed_loop
p95_opt,reactive_admission,taps_admission_v4,219,3.812550274410625,15.866316330891319,leave_arrival_closed_loop
throughput_opt,reactive_admission,taps_admission_v4,219,0.01362970717965749,0.026603731969381397,leave_arrival_closed_loop
balanced,reactive_admission,taps_admission_v4,219,0.04469629844102204,0.14760290687481284,leave_arrival_closed_loop
p95_opt,reactive_admission,taps_unified_v5,120,2.7630767046765268,11.487153635353717,leave_arrival_closed_loop
throughput_opt,reactive_admission,taps_unified_v5,120,0.013647812384446591,0.029165679536386463,leave_arrival_closed_loop
balanced,reactive_admission,taps_unified_v5,120,0.039562010767787925,0.12651401244176672,leave_arrival_closed_loop
p95_opt,reactive_admission,taps_unified_adaptive_v6,124,3.1044692703962404,15.01922482586702,leave_arrival_closed_loop
throughput_opt,reactive_admission,taps_unified_adaptive_v6,124,0.013725369212444091,0.029078128403185955,leave_arrival_closed_loop
balanced,reactive_admission,taps_unified_adaptive_v6,124,0.041168833339801675,0.1347788134542685,leave_arrival_closed_loop
p95_opt,acd_nisp,taps_domain_v4,139,4.0099353568723926,22.56312428736752,leave_arrival_closed_loop
throughput_opt,acd_nisp,taps_domain_v4,139,0.0007457798783697305,0.004528323205331366,leave_arrival_closed_loop
balanced,acd_nisp,taps_domain_v4,139,0.03734276932378741,0.21456383752894284,leave_arrival_closed_loop
p95_opt,acd_nisp,taps_admission_v4,219,3.812550274410625,15.866316330891319,leave_arrival_closed_loop
throughput_opt,acd_nisp,taps_admission_v4,219,0.01362970717965749,0.026603731969381397,leave_arrival_closed_loop
balanced,acd_nisp,taps_admission_v4,219,0.04469629844102204,0.14760290687481284,leave_arrival_closed_loop
p95_opt,acd_nisp,taps_unified_v5,120,2.7630767046765268,11.487153635353717,leave_arrival_closed_loop
throughput_opt,acd_nisp,taps_unified_v5,120,0.013647812384446591,0.029165679536386463,leave_arrival_closed_loop
balanced,acd_nisp,taps_unified_v5,120,0.039562010767787925,0.12651401244176672,leave_arrival_closed_loop
p95_opt,acd_nisp,taps_unified_adaptive_v6,124,3.1044692703962404,15.01922482586702,leave_arrival_closed_loop
throughput_opt,acd_nisp,taps_unified_adaptive_v6,124,0.013725369212444091,0.029078128403185955,leave_arrival_closed_loop
balanced,acd_nisp,taps_unified_adaptive_v6,124,0.041168833339801675,0.1347788134542685,leave_arrival_closed_loop
p95_opt,taps_domain_v4,taps_admission_v4,139,3.8945549576181904,23.571500448202876,leave_arrival_closed_loop
throughput_opt,taps_domain_v4,taps_admission_v4,139,0.01315185664442991,0.02596784361071946,leave_arrival_closed_loop
