selector_type,confidence_threshold,p95_gain_over_strongest,throughput_gain_over_strongest,regret_to_oracle,fallback_rate,worst_case_regret,failure_configs
RuleTable,0.0,-0.22464150634208302,-0.06437499875395797,0.22464150634208302,0.0,0.8872192729641476,6
RuleTable,0.25,-0.22464150634208302,-0.06437499875395797,0.22464150634208302,0.0,0.8872192729641476,6
RuleTable,0.5,-0.19962034007705468,-0.053856996364329716,0.19962034007705468,0.2222222222222222,0.8872192729641476,6
RuleTable,0.75,-0.06058608280309932,-0.046098333790623454,0.06058608280309932,1.0,0.3163672526258624,7
NearestNeighbor,0.0,-0.1592864812723288,-0.035704055144257354,0.1592864812723288,0.0,0.8872192729641476,7
NearestNeighbor,0.25,-0.1592864812723288,-0.035704055144257354,0.1592864812723288,0.0,0.8872192729641476,7
NearestNeighbor,0.5,-0.19138672287598368,-0.03516685661295208,0.19138672287598368,0.4444444444444444,0.8872192729641476,9
NearestNeighbor,0.75,-0.06058608280309932,-0.046098333790623454,0.06058608280309932,0.8888888888888888,0.3163672526258624,7
