instance_id,budget_policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,duplicate_patch_rate,branches_pruned,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,selected_branches,patch_nonempty_selected
django__django-11815,fcfs_budget,2,15,,,,0.0,2,unknown,2,57854,18.05873417854309,18.377776650311866,2,0
django__django-11815,fcfs_budget,4,5,,,,0.0,0,unknown,4,88872,12.948587854703268,20.876267875161776,4,0
django__django-11815,fcfs_budget,4,10,,,,0.0,0,unknown,4,174875,24.100297689437866,40.825344035137114,4,0
django__django-11815,fcfs_budget,4,15,,,,0.0,0,unknown,4,174875,24.100297689437866,40.825344035137114,4,0
django__django-11815,pabb_budget,1,5,,,,0.0,3,unknown,1,14358,8.984390099843344,4.63595857593218,1,0
django__django-11815,pabb_budget,1,10,,,,0.0,3,unknown,1,22849,3.2056467533111572,7.278545770185493,1,0
django__django-11815,pabb_budget,1,15,,,,0.0,3,unknown,1,22849,3.2056467533111572,7.278545770185493,1,0
django__django-11815,pabb_budget,2,5,,,,0.0,2,unknown,2,25782,10.587213476498922,8.275231461024926,2,0
django__django-11815,pabb_budget,2,10,,,,0.0,2,unknown,2,48695,19.377548933029175,15.623271206863416,2,0
django__django-11815,pabb_budget,2,15,,,,0.0,2,unknown,2,48695,19.377548933029175,15.623271206863416,2,0
django__django-11815,pabb_budget,4,5,,,,0.0,0,unknown,4,88872,12.948587854703268,20.876267875161776,4,0
django__django-11815,pabb_budget,4,10,,,,0.0,0,unknown,4,174875,24.100297689437866,40.825344035137114,4,0
django__django-11815,pabb_budget,4,15,,,,0.0,0,unknown,4,174875,24.100297689437866,40.825344035137114,4,0
django__django-11848,launch_all,1,5,,,,0.0,0,unknown,5,87023,9.043579618136087,19.17607213835384,5,0
django__django-11848,launch_all,1,10,,,,0.0,0,unknown,5,170013,17.558863004048664,36.94424543093254,5,0
django__django-11848,launch_all,1,15,,,,0.0,0,unknown,5,184972,18.68583917617798,41.71934822920257,5,0
django__django-11848,launch_all,2,5,,,,0.0,0,unknown,5,87023,9.043579618136087,19.17607213835384,5,0
django__django-11848,launch_all,2,10,,,,0.0,0,unknown,5,170013,17.558863004048664,36.94424543093254,5,0
django__django-11848,launch_all,2,15,,,,0.0,0,unknown,5,184972,18.68583917617798,41.71934822920257,5,0
