policy,matched_configs,validation_rows,mean_jct,p95_jct,throughput,ready_queue_wait,region_utilization,resume_prefill_tokens,cache_hit_tokens,remote_kv_bytes,tool_latency_hidden,stp_hit_rate,stp_exact_hit_rate,stp_wasted_work_overhead,stp_safety_violations,starvation_count,invalid_selection_rate
reactive_admission,320,1340,76.89010576732873,134.4730632066803,0.13042464351161173,3407.09324878361,0.609403428400009,0.0,0.0,286211036381.1025,0.0,0.0,0.0,0.0,0,0.0,0.0
acd_nisp,320,1340,76.89010576732873,134.4730632066803,0.13042464351161173,3407.09324878361,0.609403428400009,0.0,0.0,286211036381.1025,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_admission_v4,320,1340,75.935293435476,135.33617200398683,0.14424452346472136,3295.3486900117236,0.6635691321696974,0.0,0.0,294150255765.7791,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_domain_v4_fixed,320,1340,71.0112163524861,153.64467158043314,0.1308008234752483,3115.645565135572,0.6131575528064892,0.0,0.0,105982858589.48459,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_unified_v5_fixed,320,1340,73.55511835461223,129.6642312822812,0.14512873168527698,3151.0167877368704,0.6677998034269576,0.0,0.0,92689338744.99503,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,0.0,0.0,91947580425.17015,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3 + STP-exact,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,0.0,0.0,91947580425.17015,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3 + STP-sandbox,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,0.0,0.0,91947580425.17015,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3 + STP-class-upper-bound,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,0.0,0.0,91947580425.17015,0.0,0.0,0.0,0.0,0,0.0,0.0
