run_id,mesh,mesh_rows,mesh_cols,effective_regions,branch_fanout,policy,jct,branch_wait_time,region_utilization,blocked_compute_time_avoided,time_to_first_success,branch_wasted_tokens,acd_bes_gain_vs_acd_only,full_gain_vs_acd_nisp
bes_stress_pr3_v3,2x2,2,2,1,4.0,acd_only,70.2761270606824,711.8913504726395,0.7589418244151538,637.7253286838531,70.2761270606824,0,-0.030136133661951333,-0.02641206098879601
bes_stress_pr3_v3,2x2,2,2,1,4.0,acd_bes,72.3939778190274,492.22906448315905,0.7087359847329517,637.7253286838531,72.3939778190274,0,-0.030136133661951333,-0.02641206098879601
bes_stress_pr3_v3,2x2,2,2,1,4.0,acd_nisp,69.7569724951671,694.7996434511846,0.7525864998343212,637.7253286838531,69.7569724951671,0,-0.030136133661951333,-0.02641206098879601
bes_stress_pr3_v3,2x2,2,2,1,4.0,full_agentweaver,71.59939790710322,481.7836505945288,0.704849206714078,637.7253286838531,71.59939790710322,0,-0.030136133661951333,-0.02641206098879601
bes_stress_pr3_v3,2x2,2,2,2,4.0,acd_only,58.223063444051164,159.03647880202394,0.6577263325590028,637.7253286838531,58.223063444051164,0,-0.011154083629447965,-0.0035558884471299144
bes_stress_pr3_v3,2x2,2,2,2,4.0,acd_bes,58.872488362868765,148.50694472401943,0.6379755991130361,637.7253286838531,58.872488362868765,0,-0.011154083629447965,-0.0035558884471299144
bes_stress_pr3_v3,2x2,2,2,2,4.0,acd_nisp,57.99093882319143,154.66491226575357,0.6506201443664748,637.7253286838531,57.99093882319143,0,-0.011154083629447965,-0.0035558884471299144
bes_stress_pr3_v3,2x2,2,2,2,4.0,full_agentweaver,58.19714813259103,140.19427948595126,0.6461023278626292,637.7253286838531,58.19714813259103,0,-0.011154083629447965,-0.0035558884471299144
bes_stress_pr3_v3,2x2,2,2,4,4.0,acd_only,54.94450329211611,0.0,0.5359721358325266,637.7253286838531,54.94450329211611,0,0.0,0.0
bes_stress_pr3_v3,2x2,2,2,4,4.0,acd_bes,54.94450329211611,0.0,0.5359721358325266,637.7253286838531,54.94450329211611,0,0.0,0.0
bes_stress_pr3_v3,2x2,2,2,4,4.0,acd_nisp,54.78839486853151,0.0,0.5310910112960378,637.7253286838531,54.78839486853151,0,0.0,0.0
bes_stress_pr3_v3,2x2,2,2,4,4.0,full_agentweaver,54.78839486853151,0.0,0.5310910112960378,637.7253286838531,54.78839486853151,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,1,4.0,acd_only,70.27644721068239,711.8992704726396,0.758943894921312,637.7253286838531,70.27644721068239,0,-0.03013627456145901,-0.026411951161047165
bes_stress_pr3_v3,4x4,4,4,1,4.0,acd_bes,72.3943175190274,492.234935983159,0.7087381586386577,637.7253286838531,72.3943175190274,0,-0.03013627456145901,-0.026411951161047165
bes_stress_pr3_v3,4x4,4,4,1,4.0,acd_nisp,69.75729474516712,694.8078344511845,0.7525889575601132,637.7253286838531,69.75729474516712,0,-0.03013627456145901,-0.026411951161047165
bes_stress_pr3_v3,4x4,4,4,1,4.0,full_agentweaver,71.59972100710324,481.7892480945289,0.7048515825610735,637.7253286838531,71.59972100710324,0,-0.03013627456145901,-0.026411951161047165
bes_stress_pr3_v3,4x4,4,4,2,4.0,acd_only,58.223205994051156,159.03814830202396,0.6283612511050516,637.7253286838531,58.223205994051156,0,-0.011153640678666185,-0.0035553102118335124
bes_stress_pr3_v3,4x4,4,4,2,4.0,acd_bes,58.872606712868766,148.50845672401945,0.6075575184886859,637.7253286838531,58.872606712868766,0,-0.011153640678666185,-0.0035553102118335124
bes_stress_pr3_v3,4x4,4,4,2,4.0,acd_nisp,57.991088573191426,154.6664802657536,0.6199223226813468,637.7253286838531,57.991088573191426,0,-0.011153640678666185,-0.0035553102118335124
bes_stress_pr3_v3,4x4,4,4,2,4.0,full_agentweaver,58.197264882591035,140.19576598595123,0.6091818852406063,637.7253286838531,58.197264882591035,0,-0.011153640678666185,-0.0035553102118335124
bes_stress_pr3_v3,4x4,4,4,4,4.0,acd_only,54.94460724211611,0.0,0.44814259987070504,637.7253286838531,54.94460724211611,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,4,4.0,acd_bes,54.94460724211611,0.0,0.44814259987070504,637.7253286838531,54.94460724211611,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,4,4.0,acd_nisp,54.78850246853151,0.0,0.4420500117746939,637.7253286838531,54.78850246853151,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,4,4.0,full_agentweaver,54.78850246853151,0.0,0.4420500117746939,637.7253286838531,54.78850246853151,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,8,4.0,acd_only,54.94456849211612,0.0,0.2723891317934306,637.7253286838531,54.94456849211612,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,8,4.0,acd_bes,54.94456849211612,0.0,0.2723891317934306,637.7253286838531,54.94456849211612,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,8,4.0,acd_nisp,54.7884737685315,0.0,0.27000265203000773,637.7253286838531,54.7884737685315,0,0.0,0.0
bes_stress_pr3_v3,4x4,4,4,8,4.0,full_agentweaver,54.7884737685315,0.0,0.27000265203000773,637.7253286838531,54.7884737685315,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,1,4.0,acd_only,70.27658911068241,711.9043569726396,0.7589451305786624,637.7253286838531,70.27658911068241,0,-0.03013667688124975,-0.0264127080483619
