policy,status,jct,jct_delta_vs_naive,jct_ratio_vs_naive,time_to_first_success,time_to_first_success_delta_vs_naive,time_to_first_success_ratio_vs_naive,prefill_tokens_avoided,prefill_tokens_avoided_delta_vs_naive,prefill_tokens_avoided_ratio_vs_naive,branch_wasted_tokens,branch_wasted_tokens_delta_vs_naive,branch_wasted_tokens_ratio_vs_naive,resume_prefill_tokens,resume_prefill_tokens_delta_vs_naive,resume_prefill_tokens_ratio_vs_naive,region_utilization,region_utilization_delta_vs_naive,region_utilization_ratio_vs_naive
naive_wafer,ok,22.837879164670497,0.0,1.0,22.837879164670497,0.0,1.0,0.0,,,0.0,,,461252.0,0.0,1.0,0.8307763870298622,0.0,1.0
static_branch_pinning,ok,22.837879164670497,0.0,1.0,22.837879164670497,0.0,1.0,0.0,,,0.0,,,461252.0,0.0,1.0,0.8224507797582365,-0.008325607271625679,0.9899785220167476
wafer_fcfs,ok,22.837879164670497,0.0,1.0,22.837879164670497,0.0,1.0,0.0,,,0.0,,,461252.0,0.0,1.0,0.8307763870298622,0.0,1.0
acd_only,ok,19.18837052768174,-3.649508636988756,0.8401993192680328,19.18837052768174,-3.649508636988756,0.8401993192680328,416234.0,,,0.0,,,53797.0,-407455.0,0.11663255660680062,0.7988540368930577,-0.031922350136804556,0.9615752799006104
acd_bes,ok,19.18837052768174,-3.649508636988756,0.8401993192680328,19.18837052768174,-3.649508636988756,0.8401993192680328,416234.0,,,0.0,,,53797.0,-407455.0,0.11663255660680062,0.7988540368930577,-0.031922350136804556,0.9615752799006104
acd_nisp,ok,18.761830463002397,-4.0760487016681,0.8215224508248724,18.761830463002397,-4.0760487016681,0.8215224508248724,470031.0,,,0.0,,,47139.0,-414113.0,0.10219793084908033,0.7938247240599956,-0.03695166296986663,0.95552152956348
full_agentweaver,ok,18.761830463002397,-4.0760487016681,0.8215224508248724,18.761830463002397,-4.0760487016681,0.8215224508248724,470031.0,,,0.0,,,47139.0,-414113.0,0.10219793084908033,0.7938247240599956,-0.03695166296986663,0.95552152956348
