run_id,segment_type,unique_segments,total_accesses,repeated_prefill_tokens,exact_prefix_reusable_tokens
mini_swe_lite5,system,1,50,5439,111
mini_swe_lite5,repo,58,324,140713,22089
mini_swe_lite5,history,37,176,12874,3593
