mode,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error
prefix,0,0,256,256,2,128,0,1.1735749244689941,1.1664998531341553,True,0,2,0,ok,,570.0,544.0,2270.0,544.0,804.0,0.0,0.0,0.0,46.00001072883606,46.02747440338135,40.257115602493286,41.04564118385315,42.01777243614197,76.9193983078003,
prefix,0,0,256,256,2,128,1,1.1786139011383057,1.1699386835098267,True,0,2,0,ok,,570.0,544.0,2270.0,544.0,804.0,0.0,0.0,0.0,46.0000114440918,46.02753281593323,40.25222635269165,40.049232721328735,42.01773428916931,76.91544914245605,
prefix,0,0,256,256,2,128,2,1.1931700706481934,1.1809617280960083,True,0,2,0,ok,,570.0,544.0,2270.0,544.0,804.0,0.0,0.0,0.0,46.00001120567322,46.02749943733215,40.25243592262268,40.051899433135986,42.017735719680786,76.92359924316406,
prefix,0,0,256,256,4,128,0,1.2279722690582275,1.2093586921691895,True,0,4,0,ok,,1140.0,1088.0,4540.0,1088.0,1608.0,0.0,0.0,0.0,92.00003600120544,92.06055212020874,80.54407548904419,80.1352527141571,84.03577995300293,154.0744981765747,
prefix,0,0,256,256,4,128,1,1.2233672142028809,1.2041397094726562,True,0,4,0,ok,,1140.0,1088.0,4540.0,1088.0,1608.0,0.0,0.0,0.0,92.00003552436829,92.06087565422058,80.54591846466064,80.13088202476501,84.03579473495483,154.06733417510986,
prefix,0,0,256,256,4,128,2,1.2210919857025146,1.2025923132896423,True,0,4,0,ok,,1140.0,1088.0,4540.0,1088.0,1608.0,0.0,0.0,0.0,92.00003933906555,92.0609278678894,80.54362273216248,80.13198947906494,84.03577661514282,154.06151676177979,
prefix,0,0,256,256,8,128,0,1.2949044704437256,1.2670004665851593,True,0,8,0,ok,,2280.0,2176.0,9080.0,2176.0,3216.0,0.0,0.0,0.0,184.0001151561737,184.12933588027954,161.30984330177307,153.34284663200378,168.07330584526062,309.09219551086426,
prefix,0,0,256,256,8,128,1,1.297147274017334,1.2676224112510681,True,0,8,0,ok,,2280.0,2176.0,9080.0,2176.0,3216.0,0.0,0.0,0.0,184.00013542175293,184.12838339805603,161.32500648498535,153.36574506759644,168.07342529296875,309.184627532959,
prefix,0,0,256,256,8,128,2,1.2994980812072754,1.2711065411567688,True,0,8,0,ok,,2280.0,2176.0,9080.0,2176.0,3216.0,0.0,0.0,0.0,184.0001950263977,184.1217315196991,161.35258269309998,152.35446858406067,168.0736424922943,309.23566246032715,
prefix,0,0,512,512,2,128,0,1.2230772972106934,1.2147806882858276,True,0,2,0,ok,,1082.0,1056.0,4316.0,1056.0,804.0,0.0,0.0,0.0,46.00001072883606,46.027852296829224,40.33829712867737,40.056278228759766,42.01841187477112,77.19588565826416,
prefix,0,0,512,512,2,128,1,1.233959674835205,1.2189326286315918,True,0,2,0,ok,,1082.0,1056.0,4316.0,1056.0,804.0,0.0,0.0,0.0,46.00001072883606,46.027703285217285,40.31734919548035,40.056498765945435,42.01824688911438,77.13269805908203,
prefix,0,0,512,512,2,128,2,1.2234139442443848,1.2104142904281616,True,0,2,0,ok,,1082.0,1056.0,4316.0,1056.0,804.0,0.0,0.0,0.0,46.00001335144043,46.02804780006409,40.30861711502075,40.05666518211365,42.01817798614502,77.1064453125,
prefix,0,0,512,512,4,128,0,1.2271645069122314,1.2106913924217224,True,0,4,0,ok,,2164.0,2112.0,8632.0,2112.0,1608.0,0.0,0.0,0.0,92.00003457069397,92.06170272827148,80.56956052780151,77.15610265731812,84.03598070144653,154.2105836868286,
prefix,0,0,512,512,4,128,1,1.2520217895507812,1.2265630960464478,True,0,4,0,ok,,2164.0,2112.0,8632.0,2112.0,1608.0,0.0,0.0,0.0,92.00004410743713,92.06180596351624,80.60067844390869,77.15667605400085,84.03622579574585,154.30763053894043,
prefix,0,0,512,512,4,128,2,1.2435894012451172,1.2219752669334412,True,0,4,0,ok,,2164.0,2112.0,8632.0,2112.0,1608.0,0.0,0.0,0.0,92.00004863739014,92.06174921989441,80.58832693099976,77.15451407432556,84.03612875938416,154.26360034942627,
prefix,0,0,512,512,8,128,0,1.3125126361846924,1.281425952911377,True,0,8,0,ok,,4328.0,4224.0,17264.0,4224.0,3216.0,0.0,0.0,0.0,184.000155210495,184.12765622138977,161.30713415145874,152.4420006275177,168.07328462600708,309.3741855621338,
prefix,0,0,512,512,8,128,1,1.2935614585876465,1.2689633071422577,True,0,8,0,ok,,4328.0,4224.0,17264.0,4224.0,3216.0,0.0,0.0,0.0,184.00020599365234,184.1194748878479,161.30277299880981,152.44812488555908,168.0732500553131,309.3739376068115,
prefix,0,0,512,512,8,128,2,1.305382490158081,1.280320942401886,True,0,8,0,ok,,4328.0,4224.0,17264.0,4224.0,3216.0,0.0,0.0,0.0,184.0002098083496,184.12591195106506,161.3666274547577,152.4456434249878,168.07375311851501,309.561484336853,
prefix,0,0,1024,1024,2,128,0,1.2109434604644775,1.2020078897476196,True,0,2,0,ok,,2106.0,2080.0,8410.0,2080.0,804.0,0.0,0.0,0.0,46.00001120567322,46.02838182449341,40.298556089401245,40.0708384513855,42.01809883117676,77.11941051483154,
prefix,0,0,1024,1024,2,128,1,1.2310247421264648,1.2162731885910034,True,0,2,0,ok,,2106.0,2080.0,8410.0,2080.0,804.0,0.0,0.0,0.0,46.00002360343933,46.02846550941467,40.30300259590149,40.07195043563843,42.018133878707886,77.13535976409912,
prefix,0,0,1024,1024,2,128,2,1.2202651500701904,1.210815191268921,True,0,2,0,ok,,2106.0,2080.0,8410.0,2080.0,804.0,0.0,0.0,0.0,46.00001859664917,46.02841567993164,40.316720724105835,40.06916642189026,42.01824188232422,77.1683988571167,
prefix,0,0,1024,1024,4,128,0,1.27116060256958,1.2464954853057861,True,0,4,0,ok,,4212.0,4160.0,16820.0,4160.0,1608.0,0.0,0.0,0.0,92.00003552436829,92.06283450126648,80.62874627113342,76.20350337028503,84.03644680976868,154.53147411346436,
prefix,0,0,1024,1024,4,128,1,1.2777354717254639,1.2546607851982117,True,0,4,0,ok,,4212.0,4160.0,16820.0,4160.0,1608.0,0.0,0.0,0.0,92.00004291534424,92.06140780448914,80.66681790351868,76.20456314086914,84.03674674034119,154.64806652069092,
prefix,0,0,1024,1024,4,128,2,1.2819092273712158,1.2528254389762878,True,0,4,0,ok,,4212.0,4160.0,16820.0,4160.0,1608.0,0.0,0.0,0.0,92.00005292892456,92.06205582618713,80.65446472167969,76.20042634010315,84.03664922714233,154.59933185577393,
prefix,0,0,1024,1024,8,128,0,1.36899995803833,1.3350542783737183,True,0,8,0,ok,,8424.0,8320.0,33640.0,8320.0,3216.0,0.0,0.0,0.0,184.00024318695068,184.14063596725464,161.5047869682312,136.65749621391296,168.07484078407288,310.6122245788574,
prefix,0,0,1024,1024,8,128,1,1.3519353866577148,1.3180647492408752,True,0,8,0,ok,,8424.0,8320.0,33640.0,8320.0,3216.0,0.0,0.0,0.0,184.00012040138245,184.12317538261414,161.4570209980011,144.57881045341492,168.07446479797363,310.24552726745605,
prefix,0,0,1024,1024,8,128,2,1.3720612525939941,1.3371884226799011,True,0,8,0,ok,,8424.0,8320.0,33640.0,8320.0,3216.0,0.0,0.0,0.0,184.00016927719116,184.21118640899658,161.49038767814636,136.7178349494934,168.0747275352478,310.722204208374,
prefix,1024,1037,256,264,2,128,0,1.285456657409668,1.2760483026504517,True,1024,2,0,ok,,2660.0,2656.0,10648.0,2656.0,804.0,0.0,0.0,0.0,46.00001287460327,46.02733564376831,40.440364599227905,39.0756299495697,42.01921558380127,77.55875778198242,
