mode,input_tokens_target,input_tokens_actual,output_tokens_target,concurrency,repeat,request_id,e2e_latency,ttft,tpot,client_prompt_tokens,prompt_tokens_client,completion_tokens_client,client_completion_tokens,server_prompt_tokens,prompt_tokens_server,server_completion_tokens,completion_tokens_server,output_tokens_actual,start_time,first_token_time,end_time,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error,metrics_prompt_tokens_delta,metrics_generation_tokens_delta
sanity,512,512,32,1,0,length-512-32-0-0,0.3155195713043213,,0.00985998660326004,512,512,32,32,541,541,32,32,32,1778389233.256791,,1778389233.5723107,ok,,541.0,16.0,1646.0,16.0,118.0,0.0,0.0,0.0,23.000017881393433,23.021361589431763,23.275638341903687,20.029987812042236,21.008891582489014,43.92075729370117,,1646.0,118.0
sanity,2048,2048,32,1,0,length-2048-32-0-0,0.37015438079833984,,0.01156732439994812,2048,2048,32,32,2077,2077,32,32,32,1778389233.6141727,,1778389233.984327,ok,,2077.0,64.0,6300.0,64.0,118.0,0.0,0.0,0.0,23.00000548362732,23.066627979278564,23.278944492340088,17.081347465515137,21.008998155593872,44.08456516265869,,6300.0,118.0
