mode,input_tokens_target,input_tokens_actual,output_tokens_target,concurrency,repeat,request_id,e2e_latency,ttft,tpot,client_prompt_tokens,prompt_tokens_client,completion_tokens_client,client_completion_tokens,server_prompt_tokens,prompt_tokens_server,server_completion_tokens,completion_tokens_server,output_tokens_actual,start_time,first_token_time,end_time,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error,metrics_prompt_tokens_delta,metrics_generation_tokens_delta,per_request_latency_mean,per_request_latency_p50,per_request_latency_p95,throughput_prompt_tokens_per_s,throughput_generation_tokens_per_s,queue_metric_delta,num_success,num_failed,case_start_time,case_end_time,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,total_e2e_latency,prefix_token_ids_exact_match,client_repeated_prefix_tokens
length,512,512,1024,1,1,length-512-1024-1-0,6.969724655151367,,0.008947014961683398,512,512,779,779,541,541,780,780,780,1778389263.4884439,,1778389270.4581685,ok,,541.0,528.0,2158.0,528.0,2354.0,0.0,0.0,0.0,23.0000057220459,23.011112928390503,21.923840522766113,21.01919722557068,21.008888006210327,43.83624267578125,,2158.0,2354.0,,,,,,,,,,,,,,,,,,,
length,512,512,1024,1,2,length-512-1024-2-0,6.972360372543335,,0.008950398424317503,512,512,779,779,541,541,780,780,780,1778389270.5193515,,1778389277.4917119,ok,,541.0,528.0,2158.0,528.0,2354.0,0.0,0.0,0.0,23.00001072883606,23.011467218399048,21.924286127090454,20.022475242614746,21.008888721466064,43.84589767456055,,2158.0,2354.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,32,1,0,length-1024-32-0-0,0.3337068557739258,,0.01042833924293518,1024,1024,32,32,1053,1053,32,32,32,1778389277.5958939,,1778389277.9296007,ok,,1053.0,64.0,3229.0,64.0,118.0,0.0,0.0,0.0,23.000006198883057,23.033876657485962,23.27530336380005,19.042219161987305,21.008880853652954,43.95699405670166,,3229.0,118.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,32,1,1,length-1024-32-1-0,0.32060766220092773,,0.010018989443778992,1024,1024,32,32,1053,1053,32,32,32,1778389277.9912872,,1778389278.311895,ok,,1053.0,1040.0,4205.0,1040.0,118.0,0.0,0.0,0.0,23.0000057220459,23.01130771636963,23.2750985622406,20.02225112915039,21.00887417793274,44.89669609069824,,4205.0,118.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,32,1,2,length-1024-32-2-0,0.32100892066955566,,0.010031528770923615,1024,1024,32,32,1053,1053,32,32,32,1778389278.3691156,,1778389278.6901245,ok,,1053.0,1040.0,4205.0,1040.0,118.0,0.0,0.0,0.0,23.00000548362732,23.011089086532593,23.27513813972473,20.02178955078125,21.008875370025635,44.89533805847168,,4205.0,118.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,128,1,0,length-1024-128-0-0,1.173875331878662,,0.009170901030302048,1024,1024,128,128,1053,1053,128,128,128,1778389278.748498,,1778389279.9223733,ok,,1053.0,1040.0,4205.0,1040.0,402.0,0.0,0.0,0.0,23.0000057220459,23.0111026763916,20.128401517868042,20.021379232406616,21.008885145187378,38.45396709442139,,4205.0,402.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,128,1,1,length-1024-128-1-0,1.1755321025848389,,0.009183844551444054,1024,1024,128,128,1053,1053,128,128,128,1778389279.983332,,1778389281.158864,ok,,1053.0,1040.0,4205.0,1040.0,402.0,0.0,0.0,0.0,23.00000548362732,23.01103138923645,20.12942147254944,20.02222204208374,21.00889301300049,38.45971965789795,,4205.0,402.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,128,1,2,length-1024-128-2-0,1.170619010925293,,0.009145461022853851,1024,1024,128,128,1053,1053,128,128,128,1778389281.2252448,,1778389282.3958638,ok,,1053.0,1040.0,4205.0,1040.0,402.0,0.0,0.0,0.0,23.00000524520874,23.011054754257202,20.12887454032898,21.017929553985596,21.008888721466064,38.44526195526123,,4205.0,402.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,512,1,0,length-1024-512-0-0,2.559835910797119,,0.009045356575254838,1024,1024,283,283,1053,1053,284,284,284,1778389282.458856,,1778389285.018692,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.000025510787964,23.01249122619629,18.51599621772766,21.019437313079834,21.008890390396118,36.61169719696045,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,512,1,1,length-1024-512-1-0,2.5605390071868896,,0.009047841014794663,1024,1024,283,283,1053,1053,284,284,284,1778389285.0810544,,1778389287.6415935,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.0000057220459,23.011217832565308,18.51676869392395,21.01908254623413,21.008893251419067,36.61269569396973,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,512,1,2,length-1024-512-2-0,2.562647819519043,,0.009055292648477183,1024,1024,283,283,1053,1053,284,284,284,1778389287.702157,,1778389290.2648048,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.00000548362732,23.01105523109436,18.516494274139404,20.02151584625244,21.00889229774475,36.617998123168945,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,1024,1,0,length-1024-1024-0-0,2.5633015632629395,,0.00905760269704219,1024,1024,283,283,1053,1053,284,284,284,1778389290.3342562,,1778389292.8975577,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.000006198883057,23.01112151145935,18.516330003738403,20.02275848388672,21.008891582489014,36.62119960784912,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,1024,1,1,length-1024-1024-1-0,2.5647799968719482,,0.009062826844070488,1024,1024,283,283,1053,1053,284,284,284,1778389292.955523,,1778389295.520303,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.000005960464478,23.011243104934692,18.516751289367676,20.022770404815674,21.00889301300049,36.62379169464111,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,1024,1024,1024,1,2,length-1024-1024-2-0,2.5647079944610596,,0.009062572418590317,1024,1024,283,283,1053,1053,284,284,284,1778389295.5819018,,1778389298.1466098,ok,,1053.0,1040.0,4205.0,1040.0,868.0,0.0,0.0,0.0,23.000006198883057,23.011077404022217,18.516135454177856,20.024550676345825,21.008891105651855,36.626200675964355,,4205.0,868.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,32,1,0,length-2048-32-0-0,0.32091498374938965,,0.010028593242168427,2048,2048,32,32,2077,2077,32,32,32,1778389298.2549453,,1778389298.5758603,ok,,2077.0,2064.0,8300.0,2064.0,118.0,0.0,0.0,0.0,23.000006437301636,23.011402130126953,23.27556347846985,20.029432773590088,21.008888959884644,43.91988754272461,,8300.0,118.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,32,1,1,length-2048-32-1-0,0.3267185688018799,,0.010209955275058746,2048,2048,32,32,2077,2077,32,32,32,1778389298.640011,,1778389298.9667296,ok,,2077.0,2064.0,8300.0,2064.0,118.0,0.0,0.0,0.0,23.00000524520874,23.0112361907959,23.275647163391113,20.028855800628662,21.008891820907593,43.91829586029053,,8300.0,118.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,32,1,2,length-2048-32-2-0,0.3273169994354248,,0.010228656232357025,2048,2048,32,32,2077,2077,32,32,32,1778389299.0281792,,1778389299.3554962,ok,,2077.0,2064.0,8300.0,2064.0,118.0,0.0,0.0,0.0,23.000005960464478,23.01117181777954,23.275622129440308,20.028337717056274,21.008891105651855,43.916677474975586,,8300.0,118.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,128,1,0,length-2048-128-0-0,1.1823861598968506,,0.009237391874194145,2048,2048,128,128,2077,2077,128,128,128,1778389299.4190183,,1778389300.6014044,ok,,2077.0,2064.0,8300.0,2064.0,402.0,0.0,0.0,0.0,23.00000524520874,23.011260271072388,20.130787134170532,20.02844476699829,21.008903980255127,38.48233604431152,,8300.0,402.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,128,1,1,length-2048-128-1-0,1.182724952697754,,0.009240038692951202,2048,2048,128,128,2077,2077,128,128,128,1778389300.6658287,,1778389301.8485537,ok,,2077.0,2064.0,8300.0,2064.0,402.0,0.0,0.0,0.0,23.0000057220459,23.01115584373474,20.131176948547363,20.028496742248535,21.008906841278076,38.483920097351074,,8300.0,402.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,128,1,2,length-2048-128-2-0,1.182081937789917,,0.009235015138983727,2048,2048,128,128,2077,2077,128,128,128,1778389301.9172294,,1778389303.0993114,ok,,2077.0,2064.0,8300.0,2064.0,402.0,0.0,0.0,0.0,23.0000057220459,23.011234998703003,20.130855798721313,20.028433084487915,21.008904218673706,38.482805252075195,,8300.0,402.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,512,1,0,length-2048-512-0-0,2.8323023319244385,,0.009077892089501405,2048,2048,312,312,2077,2077,313,313,313,1778389303.1621735,,1778389305.9944758,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.000017881393433,23.01169753074646,18.77980613708496,20.02893829345703,21.008909702301025,37.43086338043213,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,512,1,1,length-2048-512-1-0,2.8319008350372314,,0.009076605240503946,2048,2048,312,312,2077,2077,313,313,313,1778389306.060298,,1778389308.8921988,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.00000762939453,23.01154112815857,18.780632972717285,20.0291690826416,21.008912324905396,37.43355655670166,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,512,1,2,length-2048-512-2-0,2.830822706222534,,0.0090731496994312,2048,2048,312,312,2077,2077,313,313,313,1778389308.9575014,,1778389311.788324,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.00000810623169,23.01162838935852,18.7796688079834,20.029037475585938,21.008909225463867,37.42860794067383,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,1024,1,0,length-2048-1024-0-0,2.8279430866241455,,0.009063920149436364,2048,2048,312,312,2077,2077,313,313,313,1778389311.8566864,,1778389314.6846294,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.000006198883057,23.011230945587158,18.77983856201172,20.027331829071045,21.008909702301025,37.424805641174316,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,1024,1,1,length-2048-1024-1-0,2.8326919078826904,,0.009079140730393238,2048,2048,312,312,2077,2077,313,313,313,1778389314.7503035,,1778389317.5829954,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.000006198883057,23.0112464427948,18.780816078186035,20.028735637664795,21.008912801742554,37.43273162841797,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,2048,2048,1024,1,2,length-2048-1024-2-0,2.83284592628479,,0.009079634379117917,2048,2048,312,312,2077,2077,313,313,313,1778389317.649407,,1778389320.4822528,ok,,2077.0,2064.0,8300.0,2064.0,955.0,0.0,0.0,0.0,23.0000057220459,23.01139545440674,18.780187845230103,20.029168605804443,21.00891089439392,37.43187999725342,,8300.0,955.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,32,1,0,length-4096-32-0-0,0.4687199592590332,,0.014647498726844788,4096,4096,32,32,4125,4125,32,32,32,1778389320.5959415,,1778389321.0646615,ok,,4125.0,64.0,12444.0,64.0,118.0,0.0,0.0,0.0,23.000006437301636,23.14209747314453,23.281413316726685,16.17195153236389,21.009077787399292,44.36508369445801,,12444.0,118.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,32,1,1,length-4096-32-1-0,0.33655667304992676,,0.010517396032810211,4096,4096,32,32,4125,4125,32,32,32,1778389321.13936,,1778389321.4759166,ok,,4125.0,4112.0,16492.0,4112.0,118.0,0.0,0.0,0.0,23.0000057220459,23.011662244796753,23.277461528778076,19.04052495956421,21.00895047187805,43.958903312683105,,16492.0,118.0,,,,,,,,,,,,,,,,,,,
